Alienopterella                           | Animal    | Arthropoda                 | -99600000     | -93500000    | <>
Alienopterix                             | Animal    | Arthropoda                 | -99600000     | -93500000    | <>
Alienopterus                             | Animal    | Arthropoda                 | -99600000     | -93500000    | Alienopterus
Alievium                                 | Micro     | Radiolaria                 | -93500000     | -85800000    | <>
Alioatrax                                | Animal    | Arthropoda                 | -99600000     | -93500000    | <>
Alisporites                              | Plant     | Gymnospermophyta           | -113000000    | -93500000    | <>
Alivespa                                 | Animal    | Arthropoda                 | -99600000     | -93500000    | <>
Alkaidia                                 | Animal    | Echinodermata              | -99600000     | -93500000    | <>
Allacrotelsa                             | Animal    | Arthropoda                 | -99600000     | -93500000    | Allacrotelsa
Alleinacin                               | Animal    | Mollusca                   | -93500000     | -86300000    | <>
Allobaissoptera                          | Animal    | Arthropoda                 | -99600000     | -93500000    | <>
Allocephalocoris                         | Animal    | Arthropoda                 | -99600000     | -93500000    | <>
Allocotocera                             | Animal    | Arthropoda                 | -99600000     | -93500000    | Allocotocera
Allocrioceras                            | Animal    | Mollusca                   | -93500000     | -89300000    | Allocrioceras
Allomma                                  | Animal    | Echinodermata              | -99600000     | -93500000    | <>
Allommation                              | Animal    | Arthropoda                 | -99600000     | -93500000    | <>
Allomorphina                             | Micro     | Foraminifera               | -93500000     | -89300000    | <>
Allopleuron                              | Animal    | Chordata                   | -93900000     | -89800000    | Allopleuron
Allopteroneura                           | Animal    | Arthropoda                 | -99600000     | -93500000    | <>
Alloraphidia                             | Animal    | Arthropoda                 | -93900000     | -89800000    | <>
Allosaurus                               | Animal    | Chordata                   | -99600000     | -89300000    | Allosaurus
Allostrophus                             | Animal    | Arthropoda                 | -99600000     | -93500000    | <>
Almascyllium                             | Animal    | Chordata                   | -99600000     | -93500000    | <>
Alnashetri                               | Animal    | Chordata                   | -99600000     | -93500000    | Alnashetri
Alnus                                    | Plant     | Spermatophyta              | -99600000     | -93500000    | Alnus
Alteraraneus                             | Animal    | Arthropoda                 | -99600000     | -93500000    | <>
Alterphyxioschemoides                    | Animal    | Arthropoda                 | -99600000     | -93500000    | <>
Alteruloborus                            | Animal    | Arthropoda                 | -99600000     | -93500000    | <>
Alticorona                               | Animal    | Arthropoda                 | -99600000     | -93500000    | <>
Alzadites                                | Animal    | Mollusca                   | -99600000     | -93500000    | <>
Amaea                                    | Animal    | Mollusca                   | -99600000     | -93500000    | <>
Ambaraphis                               | Animal    | Arthropoda                 | -105300000    | -93500000    | <>
Ambarcader                               | Animal    | Arthropoda                 | -99600000     | -93500000    | <>
Ambarticus                               | Animal    | Arthropoda                 | -99600000     | -93500000    | <>
Amberathyreus                            | Animal    | Arthropoda                 | -99600000     | -93500000    | <>
Amberleya                                | Animal    | Mollusca                   | -93500000     | -89300000    | <>
Ambermantis                              | Animal    | Arthropoda                 | -93900000     | -89800000    | <>
Amberocula                               | Animal    | Arthropoda                 | -99600000     | -93500000    | <>
Amberophytum                             | Animal    | Arthropoda                 | -99600000     | -93500000    | <>
Ambigostrea                              | Animal    | Mollusca                   | -99600000     | -93500000    | <>
Amblydactylus                            | Animal    | Chordata                   | -109000000    | -93500000    | Amblydactylus
