Arcanicapsa                              | Micro     | Radiolaria                 | -136400000    | -130000000   | <>
Arcanosaurus                             | Animal    | Chordata                   | -130000000    | -122460000   | Arcanosaurus
Arcellites                               | Plant     | Pteridophyta               | -130000000    | -113000000   | <>
Archaeanthus                             | Plant     | Spermatophyta              | -145000000    | -66000000    | <>
Archaeatropos                            | Animal    | Arthropoda                 | -130000000    | -125450000   | <>
Archaeocenosphaera                       | Micro     | Radiolaria                 | -139800000    | -125000000   | <>
Archaeodictyomitra                       | Micro     | Radiolaria                 | -130000000    | -122460000   | <>
Archaeolithothamnium                     | Plant     | Rhodophyta                 | -130000000    | -113000000   | <>
Archaeoniscus                            | Animal    | Arthropoda                 | -145000000    | -100500000   | Archaeoniscus
Archaeopteryx                            | Animal    | Chordata                   | -130000000    | -125450000   | Archaeopteryx
Archaeopus                               | Animal    | Arthropoda                 | -145000000    | -66000000    | <>
Archaeornithipus                         | Animal    | Chordata                   | -163500000    | -100500000   | Archaeornithipus
Archaeoscolia                            | Animal    | Arthropoda                 | -130000000    | -125450000   | <>
Archaeospongoprunum                      | Micro     | Radiolaria                 | -130000000    | -122460000   | <>
Archaeotritrabs                          | Micro     | Radiolaria                 | -130000000    | -125450000   | <>
Archelatrius                             | Animal    | Arthropoda                 | -130000000    | -125450000   | <>
Archiaustroconops                        | Animal    | Arthropoda                 | -130000000    | -125450000   | <>
Archiculicoides                          | Animal    | Arthropoda                 | -130000000    | -125450000   | <>
Archisphex                               | Animal    | Arthropoda                 | -130000000    | -125450000   | <>
Arcodonichthys                           | Animal    | Chordata                   | -145000000    | -66000000    | <>
Arcopagia                                | Animal    | Mollusca                   | -130000000    | -125450000   | <>
Arctica                                  | Animal    | Mollusca                   | -130000000    | -125450000   | Arctica_(bivalve)
Arctostrea                               | Animal    | Mollusca                   | -130000000    | -125450000   | <>
Aretsaya                                 | Animal    | Arthropoda                 | -130000000    | -125450000   | <>
Argentiniceras                           | Animal    | Mollusca                   | -150800000    | -129400000   | Argentiniceras
Ariadnaesporites                         | Plant     | Pteridophyta               | -145000000    | -93900000    | <>
Asciocythere                             | Animal    | Arthropoda                 | -130000000    | -125450000   | <>
Asianopodus                              | Animal    | Chordata                   | -130000000    | -125450000   | <>
Asphaeropsocites                         | Animal    | Arthropoda                 | -130000000    | -125450000   | <>
Aspidaster                               | Animal    | Echinodermata              | -130000000    | -125450000   | <>
Aspideretes                              | Animal    | Chordata                   | -145000000    | -100500000   | Aspideretes
Aspidoceras                              | Animal    | Mollusca                   | -150800000    | -129400000   | Aspidoceras
Asplenium                                | Plant     | Pteridophyta               | -145000000    | -100500000   | Asplenium
Assipetra                                | Plant     | Haptophyta                 | -136400000    | -130000000   | <>
Astacodes                                | Animal    | Arthropoda                 | -136400000    | -130000000   | <>
Astacolus                                | Micro     | Foraminifera               | -136400000    | -130000000   | <>
Astarte                                  | Animal    | Mollusca                   | -130000000    | -125450000   | Astarte
Asteriaceros                             | Animal    | Echinodermata              | -130000000    | -125450000   | <>
Asteropollis                             | Plant     | Magnoliophyta              | -130000000    | -122460000   | <>
Astraeofungia                            | Animal    | Cnidaria                   | -130000000    | -125450000   | <>
Astreopora                               | Animal    | Cnidaria                   | -132900000    | -125000000   | Astreopora
Astropecten                              | Animal    | Echinodermata              | -132900000    | -129400000   | Astropecten
Atelithyris                              | Animal    | Brachiopoda                | -136400000    | -130000000   | <>
Atetrameropsis                           | Animal    | Arthropoda                 | -130000000    | -125450000   | <>
Athrotaxites                             | Plant     | Coniferophyta              | -145000000    | -100500000   | <>
Athrotaxopsis                            | Plant     | Pinophyta                  | -145000000    | -100500000   | <>
Atopochara                               | Plant     | Charophyta                 | -130000000    | -125450000   | <>
Atractostoma                             | Animal    | Mollusca                   | -130000000    | -125450000   | <>
Atresius                                 | Animal    | Mollusca                   | -132900000    | -129400000   | <>
Aucellina                                | Animal    | Mollusca                   | -130000000    | -109000000   | <>
Audouliceras                             | Animal    | Mollusca                   | -130000000    | -125450000   | <>
Aulacopodia                              | Animal    | Arthropoda                 | -145000000    | -66000000    | <>
Aulacosphinctes                          | Animal    | Mollusca                   | -150800000    | -129400000   | Aulacosphinctes
Aulacoteuthis                            | Animal    | Mollusca                   | -130000000    | -125450000   | Aulacoteuthis
Aulastraea                               | Animal    | Cnidaria                   | -130000000    | -125450000   | <>
Aulotortus                               | Micro     | Foraminifera               | -130000000    | -125450000   | <>
Aurisaturnalis                           | Micro     | Radiolaria                 | -130000000    | -125450000   | <>
Auritulinasporites                       | Plant     | Pteridophyta               | -145000000    | -130000000   | <>
Austroconops                             | Animal    | Arthropoda                 | -130000000    | -125450000   | Austroconops
Austropotamobius                         | Animal    | Arthropoda                 | -130000000    | -125450000   | Austropotamobius
Avellana                                 | Animal    | Mollusca                   | -130000000    | -125450000   | Avellana
Avicula                                  | Animal    | Mollusca                   | -132900000    | -129400000   | <>
Avramidiscus                             | Animal    | Mollusca                   | -130000000    | -125450000   | <>
Axiopsis                                 | Animal    | Arthropoda                 | -145000000    | -100500000   | <>
Axopodorhabdus                           | Plant     | Haptophyta                 | -136400000    | -130000000   | <>
Axosmilia                                | Animal    | Cnidaria                   | -132900000    | -129400000   | <>
Baabdasaurus                             | Animal    | Chordata                   | -130000000    | -125450000   | <>
Baculatisporites                         | Plant     | Pteridophyta               | -130000000    | -125450000   | <>
Baculites                                | Animal    | Mollusca                   | -145000000    | -66000000    | Baculites
Bacutriletes                             | Plant     | Lycophyta                  | -130000000    | -122460000   | <>
Baetylus                                 | Animal    | Arthropoda                 | -130000000    | -125450000   | Baetylus
Baiera                                   | Plant     | Ginkgophyta                | -145000000    | -100500000   | Baiera
Baieropsis                               | Plant     | Pteridophyta               | -145000000    | -100500000   | <>
Bairdia                                  | Animal    | Arthropoda                 | -132900000    | -129400000   | <>
Bairdoppilata                            | Animal    | Arthropoda                 | -130000000    | -125450000   | <>
Baissodes                                | Animal    | Arthropoda                 | -136400000    | -130000000   | <>
Bakalovaella                             | Plant     | Chlorophyta                | -130000000    | -122460000   | <>
Bakevellia                               | Animal    | Mollusca                   | -145000000    | -130000000   | <>
Balanocidaris                            | Animal    | Echinodermata              | -132900000    | -129400000   | <>
Balearites                               | Animal    | Mollusca                   | -132900000    | -125000000   | Balearites
Balmeisporites                           | Plant     | Pinophyta                  | -132900000    | -129400000   | <>
Bandellina                               | Animal    | Mollusca                   | -130000000    | -125450000   | <>
Banoberotha                              | Animal    | Arthropoda                 | -130000000    | -125450000   | <>
Barbatia                                 | Animal    | Mollusca                   | -132900000    | -129400000   | Barbatia
Barguesiella                             | Animal    | Mollusca                   | -130000000    | -125450000   | <>
Barilium                                 | Animal    | Chordata                   | -136400000    | -125450000   | Barilium
Barremites                               | Animal    | Mollusca                   | -130000000    | -125450000   | Barremites
Barremitites                             | Animal    | Mollusca                   | -130000000    | -122460000   | <>
Barroisia                                | Animal    | Porifera                   | -130000000    | -125450000   | <>
Baryonyx                                 | Animal    | Chordata                   | -130000000    | -122460000   | Baryonyx
Batissa                                  | Animal    | Mollusca                   | -132900000    | -129400000   | <>
Batrachopus                              | Animal    | Chordata                   | -145000000    | -130000000   | Batrachopus
Baugeichthys                             | Animal    | Chordata                   | -145000000    | -66000000    | <>
Beaupreaidites                           | Plant     | Spermatophyta              | -145000000    | -66000000    | <>
Becklesius                               | Animal    | Chordata                   | -130000000    | -125450000   | Becklesius
Becus                                    | Micro     | Radiolaria                 | -130000000    | -122460000   | <>
Beipiaosaurus                            | Animal    | Chordata                   | -130000000    | -122460000   | Beipiaosaurus
Belbekella                               | Animal    | Brachiopoda                | -130000000    | -125450000   | <>
Belemnella                               | Animal    | Mollusca                   | -145000000    | -66000000    | Belemnella
Belemnites                               | Animal    | Mollusca                   | -132900000    | -129400000   | Belemnites_(genus)
Belemnobatis                             | Animal    | Chordata                   | -130000000    | -125450000   | Belemnobatis
Belemnopsis                              | Animal    | Mollusca                   | -139800000    | -129400000   | Belemnopsis
Bellarinea                               | Plant     | Coniferophyta              | -145000000    | -130000000   | <>
Belorussiella                            | Micro     | Foraminifera               | -136400000    | -130000000   | <>
Benthesicymus                            | Animal    | Arthropoda                 | -145000000    | -66000000    | Benthesicymus
Berenicea                                | Animal    | Bryozoa                    | -132900000    | -129400000   | <>
Bernaea                                  | Animal    | Arthropoda                 | -130000000    | -125450000   | <>
Bernissartia                             | Animal    | Chordata                   | -130000000    | -122460000   | Bernissartia
Bernoullius                              | Micro     | Radiolaria                 | -130000000    | -122460000   | <>
Berriasella                              | Animal    | Mollusca                   | -150800000    | -129400000   | Berriasella
Beudanticeras                            | Animal    | Mollusca                   | -145000000    | -89800000    | Beudanticeras
Beurlenichthys                           | Animal    | Chordata                   | -145000000    | -100500000   | <>
Bevhalstea                               | Plant     | Magnoliophyta              | -136400000    | -130000000   | <>
Bignonites                               | Plant     | Spermatophyta              | -145000000    | -66000000    | <>
Binelliceras                             | Animal    | Mollusca                   | -136400000    | -130000000   | Binelliceras
Binkhorstia                              | Animal    | Arthropoda                 | -145000000    | -66000000    | <>
Biretisporites                           | Plant     | Pteridophyta               | -132900000    | -129400000   | <>
Biscutum                                 | Plant     | Haptophyta                 | -136400000    | -130000000   | <>
Bistarkum                                | Micro     | Radiolaria                 | -130000000    | -122460000   | <>
Bleytonella                              | Animal    | Mollusca                   | -130000000    | -125450000   | <>
Bochianites                              | Animal    | Mollusca                   | -132900000    | -129400000   | Bochianites
Bolbonectes                              | Animal    | Arthropoda                 | -130000000    | -125450000   | <>
Bolivinopsis                             | Micro     | Foraminifera               | -136400000    | -130000000   | <>
Bolong                                   | Animal    | Chordata                   | -130000000    | -122460000   | Bolong
Botryococcus                             | Plant     | Chlorophyta                | -139800000    | -125000000   | Botryococcus
Boueina                                  | Plant     | Chlorophyta                | -130000000    | -122460000   | <>
Braarudosphaera                          | Plant     | Haptophyta                 | -132900000    | -125000000   | <>
Brachauchenius                           | Animal    | Chordata                   | -130000000    | -125450000   | Brachauchenius
Brachyopteryx                            | Animal    | Arthropoda                 | -136400000    | -130000000   | <>
Brachyphyllum                            | Plant     | Coniferophyta              | -130000000    | -125450000   | Brachyphyllum
Brachyzapfes                             | Animal    | Arthropoda                 | -130000000    | -125450000   | <>
Branchiocarcinus                         | Animal    | Arthropoda                 | -145000000    | -66000000    | <>
Brannerion                               | Animal    | Chordata                   | -145000000    | -100500000   | Brannerion
Breistrofferella                         | Animal    | Mollusca                   | -132900000    | -129400000   | <>
Brevispinnatus                           | Animal    | Arthropoda                 | -130000000    | -125450000   | <>
Brochocoleus                             | Animal    | Arthropoda                 | -130000000    | -125450000   | Brochocoleus
Brodiechelys                             | Animal    | Chordata                   | -130000000    | -122460000   | Brodiechelys
Brontopodus                              | Animal    | Chordata                   | -132900000    | -125000000   | Brontopodus
Brotiopsis                               | Animal    | Mollusca                   | -132900000    | -125000000   | <>
Brouzetdiscus                            | Animal    | Mollusca                   | -130000000    | -125450000   | <>
Buccicrenata                             | Micro     | Foraminifera               | -132900000    | -129400000   | <>
