Clavaspidella                            | Animal    | Arthropoda                 | -513000000    | -498500000   | <>
Clavigellus                              | Animal    | Arthropoda                 | -530000000    | -501000000   | <>
Cobboldites                              | Animal    | Arthropoda                 | -513000000    | -501000000   | Cobboldites
Coleicarpus                              | Animal    | Echinodermata              | -513000000    | -498500000   | <>
Conaspis                                 | Animal    | Arthropoda                 | -541000000    | -485400000   | <>
Condylopyge                              | Animal    | Arthropoda                 | -513000000    | -501000000   | Condylopyge
Conicephalus                             | Animal    | Arthropoda                 | -505000000    | -501000000   | <>
Connagnostus                             | Animal    | Arthropoda                 | -505000000    | -498500000   | Connagnostus
Conocoryphe                              | Animal    | Arthropoda                 | -513000000    | -501000000   | Conocoryphe
Conokephalina                            | Animal    | Arthropoda                 | -513000000    | -501000000   | <>
Conopolus                                | Animal    | Arthropoda                 | -513000000    | -498500000   | Conopolus
Conotheca                                | Animal    | Hyolitha                   | -541000000    | -485400000   | Conotheca
Contitheca                               | Animal    | Hyolitha                   | -507000000    | -504000000   | <>
Coosella                                 | Animal    | Arthropoda                 | -513000000    | -498500000   | Coosella
Coosia                                   | Animal    | Arthropoda                 | -513000000    | -498500000   | Coosia
Coosina                                  | Animal    | Arthropoda                 | -513000000    | -485400000   | Coosina
Cordylodus                               | Animal    | Chordata                   | -541000000    | -485400000   | Cordylodus
Coreospira                               | Animal    | Mollusca                   | -513000000    | -501000000   | <>
Corynexochides                           | Animal    | Arthropoda                 | -513000000    | -498500000   | <>
Corynexochina                            | Animal    | Arthropoda                 | -513000000    | -501000000   | Corynexochina
Corynexochus                             | Animal    | Arthropoda                 | -505000000    | -497000000   | <>
Corystos                                 | Animal    | Mollusca                   | -507000000    | -505000000   | <>
Costipelagiella                          | Animal    | Mollusca                   | -513000000    | -498500000   | <>
Cotalagnostus                            | Animal    | Arthropoda                 | -505000000    | -497000000   | <>
Courtessolea                             | Animal    | Echinodermata              | -513000000    | -501000000   | <>
Crassifimbra                             | Animal    | Arthropoda                 | -513000000    | -505000000   | <>
Crepicephalina                           | Animal    | Arthropoda                 | -513000000    | -505000000   | Crepicephalina
Crepicephalus                            | Animal    | Arthropoda                 | -513000000    | -485400000   | Crepicephalus
Crumillospongia                          | Animal    | Porifera                   | -513000000    | -501000000   | Crumillospongia
Cryptoderaspis                           | Animal    | Arthropoda                 | -513000000    | -498500000   | <>
Ctenocephalus                            | Animal    | Arthropoda                 | -513000000    | -501000000   | <>
Ctenocystis                              | Animal    | Echinodermata              | -507000000    | -504000000   | <>
Ctenoimbricata                           | Animal    | Echinodermata              | -513000000    | -501000000   | Ctenoimbricata
Ctenopyge                                | Animal    | Arthropoda                 | -541000000    | -485400000   | <>
Curticia                                 | Animal    | Brachiopoda                | -513000000    | -501000000   | <>
Curvoryctocephalus                       | Animal    | Arthropoda                 | -513000000    | -505000000   | <>
Cyclolorenzella                          | Animal    | Arthropoda                 | -505000000    | -498500000   | <>
Cymbionites                              | Animal    | Echinodermata              | -513000000    | -507000000   | <>
Cymbricia                                | Animal    | Brachiopoda                | -513000000    | -501000000   | <>
Dactylotreta                             | Animal    | Brachiopoda                | -505000000    | -485400000   | <>
Dalyia                                   | Animal    | Hemichordata               | -513000000    | -505000000   | Dalyia
Damesella                                | Animal    | Arthropoda                 | -505000000    | -497000000   | <>
Danjiangella                             | Animal    | Arthropoda                 | -513000000    | -501000000   | <>
Danzhaiaspis                             | Animal    | Arthropoda                 | -513000000    | -505000000   | <>
Danzhaina                                | Animal    | Arthropoda                 | -513000000    | -505000000   | <>
