Amesodesma                               | Animal    | Mollusca                   | -126000       | -11700       | <>
Amia                                     | Animal    | Chordata                   | -126000       | -11700       | Amia
Amiantis                                 | Animal    | Mollusca                   | -126000       | -11700       | <>
Ammodramus                               | Animal    | Chordata                   | -126000       | -11700       | Ammodramus
Ammonia                                  | Micro     | Foraminifera               | -126000       | 2030         | Ammonia
Ammospermophilus                         | Animal    | Chordata                   | -126000       | 2030         | Ammospermophilus
Ammotragus                               | Animal    | Chordata                   | -2588000      | 2030         | Ammotragus
Amnicola                                 | Animal    | Mollusca                   | -126000       | -11700       | Amnicola
Amoora                                   | Plant     | Spermatophyta              | -781000       | 2030         | Amoora
Amoria                                   | Animal    | Mollusca                   | -126000       | -11700       | Amoria
Amphibolurus                             | Animal    | Chordata                   | -126000       | -11700       | Amphibolurus
Amphidromus                              | Animal    | Mollusca                   | -126000       | -11700       | Amphidromus
Amphimelania                             | Animal    | Mollusca                   | -126000       | -11700       | <>
Amphiroa                                 | Plant     | Rhodophyta                 | -126000       | 2030         | Amphiroa
Amphisbaena                              | Animal    | Chordata                   | -126000       | -11700       | Amphisbaena
Amphisorus                               | Micro     | Foraminifera               | -126000       | -11700       | <>
Amphispiza                               | Animal    | Chordata                   | -126000       | -11700       | Amphispiza
Amphissa                                 | Animal    | Mollusca                   | -126000       | -11700       | Amphissa
Amphistegina                             | Micro     | Foraminifera               | -126000       | -11700       | Amphistegina
Amphithalamus                            | Animal    | Mollusca                   | -126000       | -11700       | Amphithalamus
Amphiuma                                 | Animal    | Chordata                   | -126000       | -11700       | Amphiuma
Amphora                                  | Plant     | Ochrophyta                 | -126000       | -11700       | Amphora
Amplibuteo                               | Animal    | Chordata                   | -126000       | -11700       | Amplibuteo
Amusium                                  | Animal    | Mollusca                   | -126000       | -11700       | Amusium
Amyclina                                 | Animal    | Mollusca                   | -126000       | -11700       | <>
Amyda                                    | Animal    | Chordata                   | -781000       | -11700       | Amyda
Anabathron                               | Animal    | Mollusca                   | -126000       | -11700       | <>
Anabernicula                             | Animal    | Chordata                   | -126000       | -11700       | Anabernicula
Anacaena                                 | Animal    | Arthropoda                 | -126000       | -11700       | Anacaena
Anachis                                  | Animal    | Mollusca                   | -126000       | -11700       | Anachis
Anadara                                  | Animal    | Mollusca                   | -126000       | 2030         | Anadara
Anancus                                  | Animal    | Chordata                   | -781000       | -126000      | Anancus
Anapagurus                               | Animal    | Arthropoda                 | -5333000      | 2030         | <>
Anapesus                                 | Animal    | Echinodermata              | -2588000      | -11700       | <>
Anas                                     | Animal    | Chordata                   | -126000       | 2030         | Anas
Anastomus                                | Animal    | Chordata                   | -126000       | -11700       | Anastomus
Anatina                                  | Animal    | Mollusca                   | -126000       | -11700       | Anatina
Anatoma                                  | Animal    | Mollusca                   | -781000       | -126000      | Anatoma
Anazola                                  | Animal    | Mollusca                   | -2588000      | -11700       | <>
Anchoa                                   | Animal    | Chordata                   | -126000       | 2030         | Anchoa
Ancilla                                  | Animal    | Mollusca                   | -126000       | -11700       | Ancilla
Ancylus                                  | Animal    | Mollusca                   | -126000       | -11700       | Ancylus
Andinomys                                | Animal    | Chordata                   | -126000       | 2030         | Andinomys
Andrusovia                               | Animal    | Mollusca                   | -126000       | -11700       | <>
Aneides                                  | Animal    | Chordata                   | -126000       | -11700       | Aneides
Angaria                                  | Animal    | Mollusca                   | -126000       | -11700       | Angaria
Angiola                                  | Animal    | Mollusca                   | -126000       | -11700       | Angiola
Anguilla                                 | Animal    | Chordata                   | -126000       | -11700       | Anguilla
Anguis                                   | Animal    | Chordata                   | -126000       | -11700       | Anguis
Anguispira                               | Animal    | Mollusca                   | -126000       | -11700       | Anguispira
Angulogerina                             | Micro     | Foraminifera               | -126000       | -11700       | <>
Angulus                                  | Animal    | Mollusca                   | -126000       | -11700       | Angulus
Anhinga                                  | Animal    | Chordata                   | -126000       | 2030         | Anhinga
Anisocoenia                              | Animal    | Cnidaria                   | -5333000      | -11700       | <>
Anisodonta                               | Animal    | Mollusca                   | -126000       | -11700       | <>
Anisotremus                              | Animal    | Chordata                   | -126000       | -11700       | Anisotremus
Anisus                                   | Animal    | Mollusca                   | -126000       | -11700       | Anisus
Annachlamys                              | Animal    | Mollusca                   | -126000       | -11700       | Annachlamys
Anobium                                  | Animal    | Arthropoda                 | -781000       | -126000      | Anobium
Anodonta                                 | Animal    | Mollusca                   | -126000       | -11700       | Anodonta
Anodontia                                | Animal    | Mollusca                   | -126000       | -11700       | Anodontia
Anodopetalum                             | Plant     | Spermatophyta              | -2588000      | -126000      | Anodopetalum
Anoglochis                               | Animal    | Chordata                   | -2588000      | -11700       | <>
Anolis                                   | Animal    | Chordata                   | -126000       | 2030         | Anolis
Anomala                                  | Animal    | Arthropoda                 | -781000       | -126000      | Anomala
Anomalocardia                            | Animal    | Mollusca                   | -126000       | -11700       | Anomalocardia
Anomalopteryx                            | Animal    | Chordata                   | -126000       | 2030         | Anomalopteryx
Anomia                                   | Animal    | Mollusca                   | -126000       | -11700       | Anomia
Anomodon Leptictidae                     | Animal    | Chordata                   | -2588000      | -11700       | Anomodon_snyderi
Anoplonassa                              | Animal    | Chordata                   | -5333000      | -11700       | <>
Anopterus                                | Plant     | Spermatophyta              | -2588000      | -126000      | Anopterus
Anotylus                                 | Animal    | Arthropoda                 | -126000       | -11700       | Anotylus
Anoura                                   | Animal    | Chordata                   | -126000       | -11700       | Anoura
Anourosorex                              | Animal    | Chordata                   | -126000       | -11700       | Anourosorex
Anous                                    | Animal    | Chordata                   | -126000       | 2030         | Anous
Anseranas                                | Animal    | Chordata                   | -126000       | -11700       | Anseranas
Anser                                    | Animal    | Chordata                   | -126000       | -11700       | Anser
Antalis                                  | Animal    | Mollusca                   | -126000       | -11700       | Antalis
Antechinomys                             | Animal    | Chordata                   | -2588000      | -11700       | Antechinomys
Antechinus                               | Animal    | Chordata                   | -126000       | 2030         | Antechinus
Anthaxia                                 | Animal    | Arthropoda                 | -126000       | -11700       | Anthaxia
Anthemiphyllia                           | Animal    | Cnidaria                   | -126000       | -11700       | <>
Antherophagus                            | Animal    | Arthropoda                 | -126000       | -11700       | Antherophagus
Anthicus                                 | Animal    | Arthropoda                 | -126000       | -11700       | Anthicus
Anthoceros                               | Plant     | Anthocerophyta             | -126000       | 2030         | Anthoceros
Anthonomus                               | Animal    | Arthropoda                 | -126000       | -11700       | Anthonomus
Anthornis                                | Animal    | Chordata                   | -126000       | 2030         | Anthornis
Anthracothorax                           | Animal    | Chordata                   | -126000       | 2030         | Anthracothorax
Anthus                                   | Animal    | Chordata                   | -126000       | -11700       | Anthus
Anticlimax                               | Animal    | Mollusca                   | -126000       | -11700       | Anticlimax
Antidorcas                               | Animal    | Chordata                   | -126000       | -11700       | Antidorcas
Antifer                                  | Animal    | Chordata                   | -126000       | 2030         | Antifer
Antigona                                 | Animal    | Mollusca                   | -126000       | -11700       | Antigona
Antigone                                 | Animal    | Chordata                   | -126000       | 2030         | Antigone
Antillipecten                            | Animal    | Mollusca                   | -781000       | -126000      | <>
Antillophos                              | Animal    | Mollusca                   | -126000       | -11700       | Antillophos
Antillophyllia                           | Animal    | Cnidaria                   | -126000       | -11700       | Antillophyllia
Antillothrix                             | Animal    | Chordata                   | -2588000      | -11700       | Antillothrix
Antilocapra                              | Animal    | Chordata                   | -126000       | 2030         | Antilocapra
Antilope                                 | Animal    | Chordata                   | -126000       | 2030         | Antilope
Antiplanes                               | Animal    | Mollusca                   | -126000       | -11700       | Antiplanes
Antropora                                | Animal    | Bryozoa                    | -126000       | -11700       | Antropora
Antrozous                                | Animal    | Chordata                   | -126000       | 2030         | Antrozous
Aonyx                                    | Animal    | Chordata                   | -126000       | -11700       | Aonyx
Aorotrema                                | Animal    | Mollusca                   | -781000       | -126000      | Aorotrema
Apalone                                  | Animal    | Chordata                   | -126000       | -11700       | Apalone
Aperiploma                               | Animal    | Mollusca                   | -126000       | -11700       | <>
Aphananthe                               | Plant     | Spermatophyta              | -126000       | 2030         | Aphananthe
Aphanocrex                               | Animal    | Chordata                   | -126000       | -11700       | Aphanocrex
Aphanopus                                | Animal    | Chordata                   | -2588000      | -126000      | Aphanopus
Aphelocoma                               | Animal    | Chordata                   | -126000       | -11700       | Aphelocoma
Aphia                                    | Animal    | Chordata                   | -781000       | -126000      | Aphia
Aphodius                                 | Animal    | Arthropoda                 | -126000       | -11700       | Aphodius
Aphrodes                                 | Animal    | Arthropoda                 | -126000       | -11700       | Aphrodes
Apion                                    | Animal    | Arthropoda                 | -126000       | -11700       | Apion
Aploderus                                | Animal    | Arthropoda                 | -781000       | -126000      | Aploderus
Aplodinotus                              | Animal    | Chordata                   | -126000       | -11700       | Aplodinotus
Aplodontia                               | Animal    | Chordata                   | -126000       | -11700       | Aplodontia
Aplonis                                  | Animal    | Chordata                   | -126000       | 2030         | Aplonis
Apodemus                                 | Animal    | Chordata                   | -126000       | -11700       | Apodemus
Apoderus                                 | Animal    | Arthropoda                 | -781000       | -126000      | Apoderus
Apodytes                                 | Plant     | Spermatophyta              | -126000       | 2030         | Apodytes
Apogon                                   | Animal    | Chordata                   | -126000       | 2030         | Apogon
Apolymetis                               | Animal    | Mollusca                   | -126000       | -11700       | <>
Aporrhais                                | Animal    | Mollusca                   | -126000       | -11700       | Aporrhais
Apsena                                   | Animal    | Arthropoda                 | -300000       | -12000       | <>
Apteribis                                | Animal    | Chordata                   | -126000       | -11700       | Apteribis
Apteryx                                  | Animal    | Chordata                   | -126000       | 2030         | Apteryx
Aptornis                                 | Animal    | Chordata                   | -126000       | 2030         | Aptornis
Apus                                     | Animal    | Chordata                   | -126000       | -11700       | Apus
Aquila                                   | Animal    | Chordata                   | -126000       | 2030         | Aquila
Arachnopusia                             | Animal    | Bryozoa                    | -2588000      | -11700       | <>
Ara                                      | Animal    | Chordata                   | -126000       | 2030         | Ara
Araloselachus                            | Animal    | Chordata                   | -126000       | -11700       | <>
Aramides                                 | Animal    | Chordata                   | -126000       | -11700       | Aramides
Aramus                                   | Animal    | Chordata                   | -126000       | -11700       | Aramus
Aratinga                                 | Animal    | Chordata                   | -126000       | -11700       | Aratinga
Araucaria                                | Plant     | Pinophyta                  | -126000       | 2030         | Araucaria
Arbacia                                  | Animal    | Echinodermata              | -2588000      | -11700       | Arbacia
Arca                                     | Animal    | Mollusca                   | -126000       | -11700       | Arca
Archaeocycnus                            | Animal    | Chordata                   | -126000       | -11700       | <>
Archaeolacerta                           | Animal    | Chordata                   | -126000       | -11700       | Archaeolacerta
Archaeolithothamnium                     | Plant     | Rhodophyta                 | -126000       | -11700       | <>
Archidendron                             | Plant     | Spermatophyta              | -2588000      | -11700       | Archidendron
Architectonica                           | Animal    | Mollusca                   | -126000       | -11700       | Architectonica
Archivesica                              | Animal    | Mollusca                   | -126000       | -11700       | <>
Archontophoenix                          | Plant     | Angiospermae               | -781000       | 2030         | Archontophoenix
Archosargus                              | Animal    | Chordata                   | -126000       | -11700       | Archosargus
Arcinella                                | Animal    | Mollusca                   | -126000       | -11700       | Arcinella
Arcopagia                                | Animal    | Mollusca                   | -126000       | -11700       | <>
Arcopaginula                             | Animal    | Mollusca                   | -126000       | -11700       | <>
Arcopsis                                 | Animal    | Mollusca                   | -126000       | -11700       | <>
Arctica                                  | Animal    | Mollusca                   | -126000       | -11700       | Arctica_(bivalve)
Arctobyrrhus                             | Animal    | Arthropoda                 | -126000       | -11700       | Arctobyrrhus
Arctocephalus                            | Animal    | Chordata                   | -126000       | 2030         | Arctocephalus
Arctodus                                 | Animal    | Chordata                   | -126000       | 2030         | Arctodus
Arctonyx                                 | Animal    | Chordata                   | -126000       | -11700       | Arctonyx
