Albanerpeton                             | Animal    | Chordata                   | -28400000     | -23030000    | Albanerpeton
Albertipollenites                        | Plant     | Spermatophyta              | -100500000    | -23030000    | <>
Albertocetus                             | Animal    | Chordata                   | -28400000     | -23030000    | Albertocetus
Albertwoodemys                           | Animal    | Chordata                   | -33900000     | -28100000    | Albertwoodemys
Albionbatrachus                          | Animal    | Chordata                   | -33900000     | -28400000    | Albionbatrachus
Alcespina                                | Animal    | Arthropoda                 | -33900000     | -28100000    | <>
Alcithoe                                 | Animal    | Mollusca                   | -28400000     | -23030000    | Alcithoe
Aldrovanda                               | Plant     | Spermatophyta              | -33900000     | -23030000    | Aldrovanda
Alectryon                                | Plant     | Spermatophyta              | -28400000     | -15970000    | Alectryon_(plant)
Alepidophora                             | Animal    | Arthropoda                 | -33300000     | -30800000    | <>
Aliculastrum                             | Animal    | Mollusca                   | -28400000     | -23030000    | Aliculastrum
Aliquantula                              | Animal    | Brachiopoda                | -33900000     | -28100000    | <>
Alisma                                   | Plant     | Angiospermae               | -66000000     | -5333000     | Alisma
Allacerops                               | Animal    | Chordata                   | -28400000     | -23030000    | Allacerops
Allactoneura                             | Animal    | Arthropoda                 | -33900000     | -28400000    | Allactoneura
Allantopora                              | Animal    | Bryozoa                    | -33900000     | -23030000    | <>
Alligator                                | Animal    | Chordata                   | -30800000     | -20430000    | Alligator
Allocasuarina                            | Plant     | Spermatophyta              | -33900000     | -15970000    | Allocasuarina
Allocyon                                 | Animal    | Chordata                   | -30800000     | -20430000    | <>
Allodia                                  | Animal    | Arthropoda                 | -33900000     | -28400000    | Allodia
Allomys                                  | Animal    | Chordata                   | -30800000     | -20430000    | <>
Allopleuron                              | Animal    | Chordata                   | -33900000     | -28100000    | Allopleuron
Allosminthus                             | Animal    | Chordata                   | -33900000     | -28400000    | <>
Alnus                                    | Plant     | Spermatophyta              | -28400000     | -15970000    | Alnus
Alopecocyon                              | Animal    | Chordata                   | -28400000     | -23030000    | Alopecocyon
Alopias                                  | Animal    | Chordata                   | -33900000     | -23030000    | Alopias
Alosa                                    | Animal    | Chordata                   | -33900000     | -28100000    | Alosa
Alpheus                                  | Animal    | Arthropoda                 | -66000000     | -23030000    | Alpheus_(shrimp)
Alphonsea                                | Plant     | Spermatophyta              | -28400000     | -23030000    | Alphonsea
Alsophilocaulis                          | Plant     | Pteridophyta               | -28400000     | -23030000    | <>
Altasciurus                              | Animal    | Chordata                   | -33300000     | -30800000    | <>
Altica                                   | Animal    | Arthropoda                 | -33900000     | -28400000    | Altica
Alvania                                  | Animal    | Mollusca                   | -33900000     | -28100000    | Alvania
Alveolina                                | Micro     | Foraminifera               | -33900000     | -28400000    | Alveolina
Alveopora                                | Animal    | Cnidaria                   | -28400000     | -23030000    | Alveopora
Alwoodia                                 | Animal    | Chordata                   | -30800000     | -20430000    | <>
Alyxia                                   | Plant     | Spermatophyta              | -33900000     | -15970000    | Alyxia
Amagua                                   | Animal    | Arthropoda                 | -33900000     | -28100000    | <>
Amalda                                   | Animal    | Mollusca                   | -33900000     | -28100000    | Amalda
Amara                                    | Animal    | Arthropoda                 | -33900000     | -28400000    | Amara
Amauropsis                               | Animal    | Mollusca                   | -28400000     | -15970000    | Amauropsis
Ambocythere                              | Animal    | Arthropoda                 | -33900000     | -28400000    | <>
Ameghinomya                              | Animal    | Mollusca                   | -28400000     | -15970000    | <>
Ameghinornis                             | Animal    | Chordata                   | -56000000     | -15970000    | Ameghinornis
Amelanchier                              | Plant     | Spermatophyta              | -33900000     | -28100000    | Amelanchier
Americardia                              | Animal    | Mollusca                   | -33900000     | -28100000    | Americardia
Amgupteryx                               | Animal    | Arthropoda                 | -33900000     | -28100000    | <>
Amiantis                                 | Animal    | Mollusca                   | -28400000     | -23030000    | <>
Ammobaculites                            | Micro     | Foraminifera               | -28400000     | -23030000    | <>
Ammodiscus                               | Micro     | Foraminifera               | -28400000     | -23030000    | Ammodiscus
Ammodytes                                | Animal    | Chordata                   | -33900000     | -28100000    | Ammodytes
Ammonia                                  | Micro     | Foraminifera               | -28400000     | -23030000    | <>
Ampelopsis                               | Plant     | Spermatophyta              | -33900000     | -23030000    | Ampelopsis
Amphechinus                              | Animal    | Chordata                   | -28400000     | -15970000    | Amphechinus
Amphiblestrum                            | Animal    | Bryozoa                    | -33900000     | -23030000    | <>
Amphicaenopus                            | Animal    | Chordata                   | -30800000     | -20430000    | <>
Amphicticeps                             | Animal    | Chordata                   | -28400000     | -23030000    | <>
Amphictis                                | Animal    | Chordata                   | -28400000     | -23030000    | <>
Amphicynodon                             | Animal    | Chordata                   | -28400000     | -23030000    | Amphicynodon
Amphicyon                                | Animal    | Chordata                   | -28400000     | -23030000    | Amphicyon
Amphidozotherium                         | Animal    | Chordata                   | -33900000     | -28400000    | <>
Amphilagus                               | Animal    | Chordata                   | -28400000     | -15970000    | <>
Amphimeryx                               | Animal    | Chordata                   | -33900000     | -28400000    | <>
Amphiope                                 | Animal    | Echinodermata              | -28400000     | -23030000    | <>
Amphioplus                               | Animal    | Echinodermata              | -33900000     | -23030000    | <>
Amphiperatherium                         | Animal    | Chordata                   | -28400000     | -22400000    | <>
Amphirhagatherium                        | Animal    | Chordata                   | -33900000     | -28100000    | Amphirhagatherium
Amphiroa                                 | Plant     | Rhodophyta                 | -33900000     | -28100000    | Amphiroa
Amphistegina                             | Micro     | Foraminifera               | -28400000     | -23030000    | Amphistegina
Amphitragulus                            | Animal    | Chordata                   | -28400000     | -23030000    | Amphitragulus
Amphotis                                 | Animal    | Arthropoda                 | -33900000     | -28400000    | Amphotis
Ampullina                                | Animal    | Mollusca                   | -28400000     | -23030000    | Ampullina
Ampullinopsis                            | Animal    | Mollusca                   | -28400000     | -23030000    | Ampullinopsis
Ampullonatica                            | Animal    | Mollusca                   | -33900000     | -28400000    | <>
Amusium                                  | Animal    | Mollusca                   | -28400000     | -23030000    | Amusium
Amussiopecten                            | Animal    | Mollusca                   | -33900000     | -28100000    | <>
Amydrocarcinus                           | Animal    | Arthropoda                 | -66000000     | -23030000    | <>
Amygdalum                                | Animal    | Mollusca                   | -28400000     | -23030000    | Amygdalum
Amynodon                                 | Animal    | Chordata                   | -28400000     | -23030000    | <>
Amyzon                                   | Animal    | Chordata                   | -33900000     | -23030000    | <>
Anacardites                              | Plant     | Spermatophyta              | -33900000     | -5333000     | <>
Anacardium                               | Plant     | Spermatophyta              | -33900000     | -28400000    | Anacardium
Anacolosidites                           | Plant     | Spermatophyta              | -56000000     | -28400000    | <>
Anadara                                  | Animal    | Mollusca                   | -28400000     | -15970000    | Anadara
Anagale                                  | Animal    | Chordata                   | -33900000     | -28400000    | Anagale
Analectis                                | Animal    | Chordata                   | -33900000     | -28100000    | Analectis
Anapepta                                 | Animal    | Mollusca                   | -28400000     | -23030000    | <>
Anarthropora                             | Animal    | Bryozoa                    | -33900000     | -23030000    | <>
Anatolechinos                            | Animal    | Chordata                   | -33900000     | -28400000    | <>
Anayatherium                             | Animal    | Chordata                   | -29000000     | -21000000    | <>
Anazola                                  | Animal    | Mollusca                   | -33900000     | -28100000    | <>
Anchomenus                               | Animal    | Arthropoda                 | -33900000     | -28400000    | Anchomenus
Anchomomys                               | Animal    | Chordata                   | -33900000     | -28100000    | Anchomomys
Ancilla                                  | Animal    | Mollusca                   | -28400000     | -23030000    | Ancilla_(gastropod)
Ancistrolepis                            | Animal    | Mollusca                   | -28400000     | -23030000    | Ancistrolepis
Ancodon                                  | Animal    | Chordata                   | -33900000     | -28100000    | <>
Anconia                                  | Animal    | Mollusca                   | -28400000     | -23030000    | Anconia
Ancylocoelus                             | Animal    | Chordata                   | -29000000     | -21000000    | <>
Andemys                                  | Animal    | Chordata                   | -33900000     | -28400000    | <>
Andinogale                               | Animal    | Chordata                   | -29000000     | -21000000    | <>
Andrena                                  | Animal    | Arthropoda                 | -33900000     | -28400000    | Andrena
Andrewsemys                              | Animal    | Chordata                   | -33900000     | -28100000    | <>
Andrewsornis                             | Animal    | Chordata                   | -29000000     | -21000000    | Andrewsornis
Andrias                                  | Animal    | Chordata                   | -28400000     | -23030000    | Andrias
Anechinocardium                          | Animal    | Mollusca                   | -33900000     | -23030000    | <>
Anenchelum                               | Animal    | Chordata                   | -33900000     | -23030000    | <>
Angaria                                  | Animal    | Mollusca                   | -33900000     | -23030000    | Angaria_(gastropod)
Angistoma                                | Animal    | Mollusca                   | -33900000     | -28100000    | <>
Anguis                                   | Animal    | Chordata                   | -28400000     | -23030000    | Anguis
Anguispira                               | Animal    | Mollusca                   | -28400000     | -15970000    | Anguispira
Angulogerina                             | Micro     | Foraminifera               | -28400000     | -23030000    | <>
Angulus                                  | Animal    | Mollusca                   | -28400000     | -23030000    | <>
Anhinga                                  | Animal    | Chordata                   | -28400000     | -23030000    | Anhinga
Anictis                                  | Animal    | Chordata                   | -33900000     | -28400000    | Anictis
Anilioides                               | Animal    | Chordata                   | -30800000     | -26300000    | <>
Anisaster                                | Animal    | Echinodermata              | -30800000     | -20430000    | <>
Anisocoenia                              | Animal    | Cnidaria                   | -33900000     | -23030000    | <>
Anisops                                  | Animal    | Arthropoda                 | -28400000     | -23030000    | <>
Anisorhynchus                            | Animal    | Arthropoda                 | -33900000     | -28100000    | <>
Anisotemnus                              | Animal    | Chordata                   | -36000000     | -29000000    | <>
Ankotarinja                              | Animal    | Chordata                   | -28400000     | -23030000    | <>
Ankylodon                                | Animal    | Chordata                   | -30800000     | -26300000    | <>
Ankylorhiza                              | Animal    | Chordata                   | -33900000     | -28100000    | Ankylorhiza
Annectina                                | Micro     | Foraminifera               | -28400000     | -23030000    | <>
Anodonta                                 | Animal    | Mollusca                   | -33900000     | -28400000    | Anodonta
Anodontia                                | Animal    | Mollusca                   | -33900000     | -11608000    | <>
Anolis                                   | Animal    | Chordata                   | -30800000     | -20430000    | Anolis
Anomala                                  | Animal    | Arthropoda                 | -28400000     | -23030000    | Anomala
Anomalina                                | Micro     | Foraminifera               | -33900000     | -23030000    | <>
