Anthaspidella                            | Animal    | Porifera                   | -460900000    | -449500000   | <>
Anthracocrinus                           | Animal    | Echinodermata              | -460900000    | -449500000   | <>
Anthroosasterias                         | Animal    | Echinodermata              | -460900000    | -445600000   | <>
Anticostia                               | Animal    | Hemichordata               | -460900000    | -449500000   | <>
Antiplectoceras                          | Animal    | Mollusca                   | -455800000    | -443400000   | <>
Antispira                                | Animal    | Mollusca                   | -460900000    | -449500000   | <>
Anulocrinus                              | Animal    | Echinodermata              | -455800000    | -445600000   | <>
Anx                                      | Animal    | Brachiopoda                | -455800000    | -445600000   | <>
Aostipora                                | Animal    | Bryozoa                    | -455800000    | -445600000   | <>
Aparchitella                             | Animal    | Arthropoda                 | -455800000    | -445600000   | <>
Aparchites                               | Animal    | Arthropoda                 | -455800000    | -443700000   | <>
Apatobolus                               | Animal    | Brachiopoda                | -457500000    | -455800000   | <>
Apatochilina                             | Animal    | Arthropoda                 | -460900000    | -449500000   | <>
Apatokephalus                            | Animal    | Arthropoda                 | -485400000    | -457500000   | <>
Apatolichas                              | Animal    | Arthropoda                 | -471800000    | -457500000   | Apatolichas
Apatomorpha                              | Animal    | Brachiopoda                | -458400000    | -453000000   | <>
Apatorthis                               | Animal    | Brachiopoda                | -457500000    | -449500000   | <>
Aphelognathus                            | Animal    | Chordata                   | -455800000    | -445600000   | <>
Aphyllum                                 | Animal    | Cnidaria                   | -458400000    | -433400000   | <>
Apianurus                                | Animal    | Arthropoda                 | -455800000    | -449500000   | <>
Apidium Dasycladaceae                    | Plant     | Chlorophyta                | -458400000    | -453000000   | <>
Apodasmocrinus                           | Animal    | Echinodermata              | -460900000    | -449500000   | <>
Apollonorthis                            | Animal    | Brachiopoda                | -460900000    | -449500000   | <>
Aporthophyla                             | Animal    | Brachiopoda                | -460900000    | -449500000   | <>
Appalachignathus                         | Animal    | Chordata                   | -460900000    | -449500000   | Appalachignathus
Appendispinograptus                      | Animal    | Hemichordata               | -455800000    | -443400000   | <>
Apsidoceras                              | Animal    | Mollusca                   | -460900000    | -443700000   | <>
Apycnodiscus                             | Animal    | Echinodermata              | -460900000    | -449500000   | <>
Arabellites                              | Animal    | Annelida                   | -460900000    | -449500000   | <>
Arachniograptus                          | Animal    | Hemichordata               | -456100000    | -449500000   | <>
Arachnocystites                          | Animal    | Echinodermata              | -460900000    | -449500000   | <>
Arachnostega                             | Animal    | Annelida                   | -460900000    | -449500000   | <>
Arborohindia                             | Animal    | Porifera                   | -456100000    | -449500000   | <>
Archaegocystis                           | Animal    | Echinodermata              | -455800000    | -445600000   | <>
Archaeoconularia                         | Animal    | Cnidaria                   | -457500000    | -445600000   | <>
Archaeocrinus                            | Animal    | Echinodermata              | -457500000    | -452000000   | <>
Archaeocyphia                            | Animal    | Porifera                   | -466000000    | -457500000   | <>
Archaeorthis                             | Animal    | Brachiopoda                | -460900000    | -449500000   | <>
Archaeoscyphia                           | Animal    | Porifera                   | -456100000    | -449500000   | <>
Archeognathus                            | Animal    | Chordata                   | -457500000    | -452500000   | Archeognathus
Archinacella                             | Animal    | Mollusca                   | -455800000    | -443400000   | <>
Archinacellina                           | Animal    | Mollusca                   | -455800000    | -445600000   | <>
Arcticeraurinella                        | Animal    | Arthropoda                 | -458400000    | -453000000   | <>
Areia                                    | Animal    | Arthropoda                 | -455800000    | -445600000   | Areia_(trilobite)
Argentinodictya                          | Animal    | Bryozoa                    | -458400000    | -453000000   | Argentinodictya
Aristerella                              | Animal    | Mollusca                   | -460900000    | -449500000   | <>
Aristocystites                           | Animal    | Echinodermata              | -457500000    | -445600000   | <>
Arjamannia                               | Animal    | Mollusca                   | -455800000    | -445600000   | <>
Armenoceras                              | Animal    | Mollusca                   | -460900000    | -449500000   | Armenoceras
Arthroclema                              | Animal    | Bryozoa                    | -460900000    | -449500000   | <>
Arthrophragma                            | Animal    | Bryozoa                    | -460900000    | -449500000   | <>
Arthropoma                               | Animal    | Bryozoa                    | -458400000    | -443400000   | <>
Arthrorhachis                            | Animal    | Arthropoda                 | -455800000    | -445600000   | Arthrorhachis
Arthrostylus                             | Animal    | Bryozoa                    | -457500000    | -452500000   | <>
Asaphellus                               | Animal    | Arthropoda                 | -460900000    | -449500000   | <>
Asaphus                                  | Animal    | Arthropoda                 | -457500000    | -449500000   | Asaphus
Ascetopeltis                             | Animal    | Arthropoda                 | -455800000    | -443400000   | <>
Ascocystites                             | Animal    | Echinodermata              | -460900000    | -455800000   | <>
Asgardaspira                             | Animal    | Mollusca                   | -455800000    | -449500000   | <>
Asinomphalus                             | Animal    | Mollusca                   | -460900000    | -455800000   | <>
Aspidocarpus                             | Animal    | Echinodermata              | -460900000    | -457500000   | <>
Aspidograptus                            | Animal    | Hemichordata               | -460900000    | -449500000   | <>
Aspidopora                               | Animal    | Bryozoa                    | -460900000    | -449500000   | <>
Astamena                                 | Animal    | Brachiopoda                | -457500000    | -449500000   | <>
Astarte                                  | Animal    | Mollusca                   | -460900000    | -455800000   | Astarte_(bivalve)
Asteriospongia                           | Animal    | Porifera                   | -460900000    | -449500000   | <>
Asthenospongia                           | Animal    | Porifera                   | -458400000    | -453000000   | <>
Astraspis                                | Animal    | Chordata                   | -460900000    | -449500000   | Astraspis
Astrocystites                            | Animal    | Echinodermata              | -456100000    | -449500000   | <>
Astroproetus                             | Animal    | Arthropoda                 | -455800000    | -443400000   | <>
Astylostroma                             | Animal    | Porifera                   | -456100000    | -443700000   | <>
Asymphylotoechia                         | Animal    | Brachiopoda                | -471800000    | -457500000   | <>
Atactopora                               | Animal    | Bryozoa                    | -460900000    | -449500000   | <>
Atactoporella                            | Animal    | Bryozoa                    | -455800000    | -445600000   | <>
Atactotoechus                            | Animal    | Bryozoa                    | -466000000    | -457500000   | <>
Atelelasma                               | Animal    | Brachiopoda                | -460900000    | -449500000   | <>
Ateleocystites                           | Animal    | Echinodermata              | -455800000    | -445600000   | <>
Athrophragma                             | Animal    | Bryozoa                    | -460900000    | -449500000   | <>
Atlantophon                              | Animal    | Mollusca                   | -458400000    | -453000000   | <>
Atractocybeloides                        | Animal    | Arthropoda                 | -460900000    | -449500000   | <>
Atractopyge                              | Animal    | Arthropoda                 | -455800000    | -443400000   | Atractopyge
Atrypa                                   | Animal    | Brachiopoda                | -455800000    | -445600000   | Atrypa
Augustoceras                             | Animal    | Mollusca                   | -456100000    | -443700000   | Augustoceras
Aulacera                                 | Animal    | Porifera                   | -455800000    | -445600000   | <>
Aulacopleura                             | Animal    | Arthropoda                 | -457500000    | -455800000   | Aulacopleura
Aulechinus                               | Animal    | Echinodermata              | -455800000    | -445600000   | <>
Aulidospira                              | Animal    | Brachiopoda                | -455800000    | -452000000   | <>
Aulocopella                              | Animal    | Porifera                   | -460900000    | -449500000   | <>
Aulocopium                               | Animal    | Porifera                   | -456100000    | -449500000   | <>
Aulopora                                 | Animal    | Cnidaria                   | -456100000    | -449500000   | Aulopora
Austinella                               | Animal    | Brachiopoda                | -455800000    | -449500000   | <>
Australispira                            | Animal    | Brachiopoda                | -456100000    | -449500000   | <>
Avdeevella                               | Animal    | Brachiopoda                | -460900000    | -449500000   | <>
Azamella                                 | Animal    | Brachiopoda                | -466000000    | -449500000   | <>
Azygograptus                             | Animal    | Hemichordata               | -460900000    | -456100000   | <>
Babanicrinus                             | Animal    | Echinodermata              | -458400000    | -453000000   | <>
Bactroceras                              | Animal    | Mollusca                   | -456100000    | -443700000   | Bactroceras
Bactrotheca                              | Animal    | Hyolitha                   | -455800000    | -445600000   | Bactrotheca
Bairdiocypridella                        | Animal    | Arthropoda                 | -460900000    | -449500000   | <>
Bajgolia                                 | Animal    | Cnidaria                   | -456100000    | -449500000   | <>
Balacrinus                               | Animal    | Echinodermata              | -457500000    | -455800000   | <>
Baldiscella                              | Animal    | Arthropoda                 | -460900000    | -449500000   | <>
Ballardina                               | Animal    | Arthropoda                 | -471800000    | -457500000   | <>
Balticella                               | Animal    | Arthropoda                 | -460900000    | -449500000   | <>
Balticopora                              | Animal    | Bryozoa                    | -460900000    | -449500000   | <>
Baltiscanella                            | Animal    | Mollusca                   | -485400000    | -443400000   | <>
Baltograptus                             | Animal    | Hemichordata               | -460900000    | -449500000   | <>
Baltoniodus                              | Animal    | Chordata                   | -458400000    | -443400000   | Baltoniodus
Baltonotella                             | Animal    | Arthropoda                 | -458400000    | -453000000   | <>
Bancroftina                              | Animal    | Brachiopoda                | -457500000    | -452000000   | <>
Bandaleta                                | Animal    | Brachiopoda                | -458400000    | -453000000   | <>
Baniaspis                                | Animal    | Arthropoda                 | -455800000    | -445600000   | <>
Barrandeocarpus                          | Animal    | Echinodermata              | -457500000    | -455800000   | <>
Barrandeoceras                           | Animal    | Mollusca                   | -466000000    | -457500000   | Barrandeoceras
Barrandia                                | Animal    | Arthropoda                 | -457500000    | -455800000   | <>
Barrandicella                            | Animal    | Mollusca                   | -457500000    | -455800000   | <>
Basilicus                                | Animal    | Arthropoda                 | -455800000    | -449500000   | <>
Bassettella                              | Animal    | Brachiopoda                | -457500000    | -449500000   | <>
Bassleratia                              | Animal    | Arthropoda                 | -460900000    | -449500000   | <>
Bassleridiscus                           | Animal    | Echinodermata              | -460900000    | -449500000   | <>
Batalleria                               | Animal    | Echinodermata              | -460900000    | -457500000   | <>
Batherocystis                            | Animal    | Echinodermata              | -460900000    | -449500000   | <>
Bathmoceras                              | Animal    | Mollusca                   | -466000000    | -449500000   | Bathmoceras
Bathycheilus                             | Animal    | Arthropoda                 | -460900000    | -457500000   | Bathycheilus
Bathyurellus                             | Animal    | Arthropoda                 | -466000000    | -449500000   | <>
Bathyurus                                | Animal    | Arthropoda                 | -460900000    | -449500000   | <>
Batostoma                                | Animal    | Bryozoa                    | -455800000    | -445600000   | <>
Batostomella                             | Animal    | Bryozoa                    | -458400000    | -443400000   | <>
Batostomellina                           | Animal    | Bryozoa                    | -460900000    | -449500000   | <>
