Bothriolepis                             | Animal    | Chordata                   | -372200000    | -358900000   | Bothriolepis
Bothrophyllum                            | Animal    | Cnidaria                   | -372200000    | -358900000   | <>
Brachymetopus                            | Animal    | Arthropoda                 | -364700000    | -360700000   | <>
Brachythyris                             | Animal    | Brachiopoda                | -364700000    | -360700000   | <>
Bradocryphaeus                           | Animal    | Arthropoda                 | -382700000    | -358900000   | <>
Breviphrentis                            | Animal    | Cnidaria                   | -370600000    | -364700000   | <>
Breviphyllum                             | Animal    | Cnidaria                   | -419200000    | -358900000   | <>
Bridgerocrinus                           | Animal    | Echinodermata              | -372200000    | -358900000   | <>
Brittagnathus                            | Animal    | Chordata                   | -364700000    | -360700000   | <>
Brokenriveria                            | Animal    | Mollusca                   | -376100000    | -370600000   | <>
Brunnirhyncha                            | Animal    | Brachiopoda                | -376100000    | -370600000   | <>
Buchiola                                 | Animal    | Mollusca                   | -364700000    | -360700000   | <>
Bukkanodus                               | Animal    | Chordata                   | -419200000    | -358900000   | Bukkanodus
Buxtonia                                 | Animal    | Brachiopoda                | -372200000    | -358900000   | <>
Calamophyton                             | Plant     | Tracheophyta               | -387700000    | -358900000   | <>
Calamopitys                              | Plant     | Ginkgophyta                | -372200000    | -358900000   | <>
Calamopteris                             | Plant     | Ginkgophyta                | -372200000    | -358900000   | <>
Calamospora                              | Plant     | Sphenophyta                | -382700000    | -358900000   | <>
Calathiops                               | Plant     | Pteridospermophyta         | -364700000    | -360700000   | <>
Calathospongia                           | Animal    | Porifera                   | -364700000    | -360700000   | <>
Caligella                                | Micro     | Foraminifera               | -370600000    | -364700000   | <>
Calleocrinus                             | Animal    | Echinodermata              | -372200000    | -358900000   | <>
Calybole                                 | Animal    | Arthropoda                 | -372200000    | -358900000   | <>
Camarophorella                           | Animal    | Brachiopoda                | -364700000    | -360700000   | <>
Camarotoechia                            | Animal    | Brachiopoda                | -364700000    | -360700000   | Camarotoechia
Campophyllum                             | Animal    | Cnidaria                   | -364700000    | -360700000   | <>
Canadiphyllum                            | Animal    | Cnidaria                   | -376100000    | -370600000   | <>
Caninia                                  | Animal    | Cnidaria                   | -364700000    | -360700000   | Caninia_(coral)
Caninophyllum                            | Animal    | Cnidaria                   | -419200000    | -298900000   | <>
Canningella Anthaspidellidae 	           | Animal    | Porifera                   | -372200000    | -358900000   | Canningella
Carbonita                                | Animal    | Arthropoda                 | -364700000    | -360700000   | Carbonita
Cariniferella                            | Animal    | Brachiopoda                | -372200000    | -358900000   | <>
Carinoclymenia                           | Animal    | Mollusca                   | -370600000    | -364700000   | Carinoclymenia
Caryorhynchus                            | Animal    | Brachiopoda                | -376100000    | -370600000   | <>
Catactocrinus                            | Animal    | Echinodermata              | -364700000    | -360700000   | <>
Catactotoechus                           | Animal    | Cnidaria                   | -370600000    | -364700000   | <>
Caulopteris                              | Plant     | Pteridophyta               | -382700000    | -358900000   | <>
Cavatisinurostrum                        | Animal    | Brachiopoda                | -376100000    | -370600000   | <>
Cavospongiella                           | Animal    | Porifera                   | -372200000    | -358900000   | <>
Centroceras                              | Animal    | Mollusca                   | -419200000    | -358900000   | <>
Centronella                              | Animal    | Brachiopoda                | -419200000    | -358900000   | <>
Ceramopora                               | Animal    | Bryozoa                    | -372200000    | -358900000   | Ceramopora
Ceratoikiscum                            | Micro     | Radiolaria                 | -382700000    | -358900000   | <>
Cestocrinus                              | Animal    | Echinodermata              | -372200000    | -358900000   | <>
Chaetetes                                | Animal    | Porifera                   | -427400000    | -358900000   | Chaetetes
Chagrinia                                | Animal    | Chordata                   | -372200000    | -358900000   | Chagrinia
Chamishaella                             | Animal    | Arthropoda                 | -376100000    | -370600000   | <>
Chapinella                               | Animal    | Brachiopoda                | -372200000    | -358900000   | <>
Charactophyllum                          | Animal    | Cnidaria                   | -419200000    | -358900000   | <>
Charionella                              | Animal    | Brachiopoda                | -419200000    | -358900000   | <>
Chaunoproetus                            | Animal    | Arthropoda                 | -364700000    | -360700000   | <>
Cheilaxonia                              | Animal    | Cnidaria                   | -376100000    | -370600000   | <>
Cheiloceras                              | Animal    | Mollusca                   | -372200000    | -358900000   | Cheiloceras
Chinacrinus                              | Animal    | Echinodermata              | -372200000    | -358900000   | <>
Chirodipterus                            | Animal    | Chordata                   | -382700000    | -358900000   | Chirodipterus
Chlupacula                               | Animal    | Arthropoda                 | -372200000    | -358900000   | <>
Chonetes                                 | Animal    | Brachiopoda                | -364700000    | -360700000   | Chonetes
Chonetipustula                           | Animal    | Brachiopoda                | -364700000    | -360700000   | <>
Chonophyllum                             | Animal    | Cnidaria                   | -382700000    | -358900000   | <>
Circellia                                | Animal    | Cnidaria                   | -370600000    | -364700000   | <>
Cladochonus                              | Animal    | Cnidaria                   | -364700000    | -360700000   | Cladochonus
Cladopora                                | Animal    | Cnidaria                   | -382700000    | -358900000   | <>
Cladoselache                             | Animal    | Chordata                   | -372200000    | -358900000   | Cladoselache
Cladoxylon                               | Plant     | Tracheophyta               | -370600000    | -364700000   | <>
Clathrocoilona                           | Animal    | Porifera                   | -372200000    | -358900000   | <>
Cleiothyridina                           | Animal    | Brachiopoda                | -364700000    | -360700000   | Cleiothyridina
Clepsydropsis                            | Plant     | Pteridophyta               | -372200000    | -358900000   | <>
Clisiophyllum                            | Animal    | Cnidaria                   | -364700000    | -360700000   | <>
Clydagnathus                             | Animal    | Chordata                   | -372200000    | -358900000   | Clydagnathus
Clymenia                                 | Animal    | Mollusca                   | -364700000    | -360700000   | Clymenia_(ammonite)
Coccosteus                               | Animal    | Chordata                   | -364700000    | -360700000   | Coccosteus
Coelonella                               | Animal    | Arthropoda                 | -376100000    | -370600000   | <>
Coeloterorhynchus                        | Animal    | Brachiopoda                | -376100000    | -370600000   | <>
