Belbekella                               | Animal    | Brachiopoda                | -145000000    | -139800000   | <>
Belbekiceras                             | Animal    | Mollusca                   | -140200000    | -136400000   | <>
Belemnella                               | Animal    | Mollusca                   | -145000000    | -66000000    | Belemnella
Belemnites                               | Animal    | Mollusca                   | -140200000    | -136400000   | Belemnites_(genus)
Belemnobatis                             | Animal    | Chordata                   | -140200000    | -136400000   | Belemnobatis
Belemnopsis                              | Animal    | Mollusca                   | -145000000    | -130000000   | Belemnopsis
Bellarinea                               | Plant     | Coniferophyta              | -145000000    | -130000000   | <>
Belorussiella                            | Micro     | Foraminifera               | -140200000    | -136400000   | <>
Benthesicymus                            | Animal    | Arthropoda                 | -145000000    | -66000000    | Benthesicymus
Berenicea                                | Animal    | Bryozoa                    | -161200000    | -132900000   | <>
Bernissartia                             | Animal    | Chordata                   | -140200000    | -136400000   | Bernissartia
Bernoullius                              | Micro     | Radiolaria                 | -140200000    | -130000000   | <>
Berriasella                              | Animal    | Mollusca                   | -145000000    | -132900000   | Berriasella
Bethylonymellus                          | Animal    | Arthropoda                 | -145000000    | -140200000   | <>
Beudanticeras                            | Animal    | Mollusca                   | -145000000    | -89800000    | Beudanticeras
Beurlenichthys                           | Animal    | Chordata                   | -145000000    | -100500000   | <>
Biadelater                               | Animal    | Arthropoda                 | -145000000    | -139800000   | <>
Bibionites                               | Animal    | Arthropoda                 | -145000000    | -140200000   | <>
Bignonites                               | Plant     | Spermatophyta              | -145000000    | -66000000    | <>
Bilaterocoenia                           | Animal    | Cnidaria                   | -145000000    | -132900000   | <>
Binkhorstia                              | Animal    | Arthropoda                 | -145000000    | -66000000    | <>
Bipedis                                  | Micro     | Radiolaria                 | -145000000    | -140200000   | <>
Biretisporites                           | Plant     | Pteridophyta               | -145000000    | -125000000   | <>
Bistarkum                                | Micro     | Radiolaria                 | -140200000    | -130000000   | <>
Blanfordiceras                           | Animal    | Mollusca                   | -145000000    | -139800000   | Blanfordiceras
Blanforidceras                           | Animal    | Mollusca                   | -145000000    | -139800000   | <>
