Amphibolurus                             | Animal    | Chordata                   | -781000       | -126000      | Amphibolurus
Amphiroa                                 | Plant     | Rhodophyta                 | -781000       | -11700       | Amphiroa
Amphisbaena                              | Animal    | Chordata                   | -2588000      | -11700       | <>
Amphisorus                               | Micro     | Foraminifera               | -781000       | -126000      | <>
Amphispiza                               | Animal    | Chordata                   | -300000       | -12000       | Amphispiza
Amphissa                                 | Animal    | Mollusca                   | -781000       | -126000      | Amphissa_(gastropod)
Amphistegina                             | Micro     | Foraminifera               | -781000       | -11700       | Amphistegina
Amphithalamus                            | Animal    | Mollusca                   | -781000       | -126000      | Amphithalamus
Amphora                                  | Plant     | Ochrophyta                 | -300000       | -12000       | <>
Amplibuteo                               | Animal    | Chordata                   | -1800000      | -300000      | Amplibuteo
Amusium                                  | Animal    | Mollusca                   | -3600000      | -11700       | Amusium
Amyclina                                 | Animal    | Mollusca                   | -781000       | -126000      | <>
Amyda                                    | Animal    | Chordata                   | -781000       | -11700       | Amyda
Amygdalum                                | Animal    | Mollusca                   | -1630000      | -340000      | Amygdalum
Anabernicula                             | Animal    | Chordata                   | -300000       | -12000       | Anabernicula
Anachis                                  | Animal    | Mollusca                   | -781000       | -126000      | Anachis
Anadara                                  | Animal    | Mollusca                   | -781000       | -126000      | Anadara
Anancus                                  | Animal    | Chordata                   | -781000       | -126000      | Anancus
Anapagurus                               | Animal    | Arthropoda                 | -5333000      | 2030         | <>
Anapesus                                 | Animal    | Echinodermata              | -2588000      | -11700       | <>
Anas                                     | Animal    | Chordata                   | -300000       | -12000       | Anas
Anatina                                  | Animal    | Mollusca                   | -781000       | -126000      | Anatina
Anatoma                                  | Animal    | Mollusca                   | -781000       | -126000      | Anatoma
Anazola                                  | Animal    | Mollusca                   | -2588000      | -11700       | <>
Ancilla                                  | Animal    | Mollusca                   | -2588000      | -11700       | Ancilla_(gastropod)
Ancylus                                  | Animal    | Mollusca                   | -2588000      | -11700       | Ancylus
Andinomys                                | Animal    | Chordata                   | -300000       | -12000       | Andinomys
Aneides                                  | Animal    | Chordata                   | -300000       | -12000       | Aneides
Angaria                                  | Animal    | Mollusca                   | -1806000      | -126000      | Angaria_(gastropod)
Anguilla                                 | Animal    | Chordata                   | -781000       | -126000      | <>
Anguis                                   | Animal    | Chordata                   | -781000       | -126000      | Anguis
Angulogerina                             | Micro     | Foraminifera               | -781000       | -11700       | <>
Angulus                                  | Animal    | Mollusca                   | -781000       | -126000      | <>
Anhinga                                  | Animal    | Chordata                   | -300000       | -12000       | Anhinga
Anisocoenia                              | Animal    | Cnidaria                   | -5333000      | -11700       | <>
Anisodonta                               | Animal    | Mollusca                   | -2588000      | -11700       | <>
Anisus                                   | Animal    | Mollusca                   | -2588000      | -11700       | Anisus
Annachlamys                              | Animal    | Mollusca                   | -781000       | -11700       | Annachlamys
Anniella                                 | Animal    | Chordata                   | -1800000      | -300000      | Anniella
Anobium                                  | Animal    | Arthropoda                 | -781000       | -126000      | Anobium
Anodonta                                 | Animal    | Mollusca                   | -781000       | -126000      | Anodonta
Anodontia                                | Animal    | Mollusca                   | -781000       | -126000      | <>
Anodopetalum                             | Plant     | Spermatophyta              | -2588000      | -126000      | Anodopetalum
Anoglochis                               | Animal    | Chordata                   | -2588000      | -11700       | <>
Anolis                                   | Animal    | Chordata                   | -300000       | -12000       | Anolis
Anomala                                  | Animal    | Arthropoda                 | -781000       | -126000      | Anomala
Anomalocardia                            | Animal    | Mollusca                   | -781000       | -126000      | Anomalocardia
Anomalopteryx                            | Animal    | Chordata                   | -2588000      | 2030         | Anomalopteryx
Anomia                                   | Animal    | Mollusca                   | -781000       | -126000      | Anomia_(bivalve)
Anomodon Leptictidae                     | Animal    | Chordata                   | -2588000      | -11700       | Anomodon_snyderi
Anoplonassa                              | Animal    | Chordata                   | -5333000      | -11700       | <>
Anopterus                                | Plant     | Spermatophyta              | -2588000      | -126000      | Anopterus
Anotylus                                 | Animal    | Arthropoda                 | -781000       | -126000      | Anotylus
Anseranas                                | Animal    | Chordata                   | -781000       | -11700       | Anseranas
Anser                                    | Animal    | Chordata                   | -300000       | -12000       | Anser_(bird)
Antalis                                  | Animal    | Mollusca                   | -781000       | -126000      | Antalis
