Angulus                                  | Animal    | Mollusca                   | -5333000      | -11700       | <>
Anhinga                                  | Animal    | Chordata                   | -10300000     | -4900000     | Anhinga
Anisocoenia                              | Animal    | Cnidaria                   | -5333000      | -11700       | <>
Anisocycla                               | Animal    | Mollusca                   | -5333000      | -3600000     | Anisocycla
Anisotremus                              | Animal    | Chordata                   | -5333000      | -3600000     | Anisotremus
Anisus                                   | Animal    | Mollusca                   | -5333000      | -11700       | Anisus
Annachlamys                              | Animal    | Mollusca                   | -5333000      | -11700       | Annachlamys
Annectocyma                              | Animal    | Bryozoa                    | -5333000      | -3600000     | <>
Anodonta                                 | Animal    | Mollusca                   | -10300000     | -4900000     | Anodonta
Anodontia                                | Animal    | Mollusca                   | -5333000      | -2588000     | Anodontia
Anodontites                              | Animal    | Mollusca                   | -9000000      | -4000000     | Anodontites
Anomalina                                | Micro     | Foraminifera               | -11620000     | -3600000     | <>
Anomalinoides                            | Micro     | Foraminifera               | -5333000      | -3600000     | <>
Anomalocardia                            | Animal    | Mollusca                   | -5333000      | -11700       | Anomalocardia
Anomalomys                               | Animal    | Chordata                   | -4900000      | -4200000     | <>
Anomia                                   | Animal    | Mollusca                   | -10300000     | -4900000     | Anomia_(bivalve)
Anoplonassa                              | Animal    | Chordata                   | -5333000      | -11700       | <>
Anouroneomys                             | Animal    | Chordata                   | -10300000     | -4900000     | <>
Anoxypristis                             | Animal    | Chordata                   | -5333000      | -3600000     | Anoxypristis
Ansates                                  | Animal    | Mollusca                   | -5333000      | -3600000     | Ansates
Anser                                    | Animal    | Chordata                   | -11608000     | -2588000     | Anser_(bird)
Antalis                                  | Animal    | Mollusca                   | -5333000      | -3600000     | Antalis
Antecalomys                              | Animal    | Chordata                   | -10300000     | -4900000     | <>
Antechinus                               | Animal    | Chordata                   | -5333000      | -2588000     | Antechinus
Anthemiphyllia                           | Animal    | Cnidaria                   | -5333000      | -11700       | <>
Anthracomys                              | Animal    | Chordata                   | -4900000      | -4200000     | <>
Anthus                                   | Animal    | Chordata                   | -5333000      | -11700       | Anthus
Anticlimax                               | Animal    | Mollusca                   | -5333000      | -3600000     | Anticlimax_(gastropod)
Antidorcas                               | Animal    | Chordata                   | -11608000     | -2588000     | Antidorcas
Antigona                                 | Animal    | Mollusca                   | -11620000     | -3600000     | Antigona_(bivalve)
Antigone                                 | Animal    | Chordata                   | -4900000      | -1800000     | Antigone
Antillipecten                            | Animal    | Mollusca                   | -5333000      | -2588000     | <>
Antillocyathus                           | Animal    | Cnidaria                   | -11608000     | -3600000     | <>
Antillophos                              | Animal    | Mollusca                   | -5333000      | -2588000     | Antillophos
Antillophyllia                           | Animal    | Cnidaria                   | -5333000      | -2588000     | Antillophyllia
Antilocapra                              | Animal    | Chordata                   | -4900000      | -1800000     | Antilocapra
Antilope                                 | Animal    | Chordata                   | -11620000     | -2588000     | Antilope
Antilospira                              | Animal    | Chordata                   | -5333000      | -2588000     | <>
Antiplanes                               | Animal    | Mollusca                   | -5333000      | -2588000     | Antiplanes
Antropora                                | Animal    | Bryozoa                    | -5333000      | -3600000     | Antropora
Antrozous                                | Animal    | Chordata                   | -10300000     | -1800000     | Antrozous
Anzanycteris                             | Animal    | Chordata                   | -4900000      | -1800000     | <>
Aonyx                                    | Animal    | Chordata                   | -5333000      | -11700       | Aonyx
Apalone                                  | Animal    | Chordata                   | -10300000     | -4900000     | Apalone
Aphananthe                               | Plant     | Spermatophyta              | -11608000     | -3600000     | Aphananthe
Aphelesia                                | Animal    | Brachiopoda                | -5333000      | -2588000     | <>
Aphelops                                 | Animal    | Chordata                   | -10300000     | -4900000     | Aphelops
Aphera                                   | Animal    | Mollusca                   | -5333000      | -2588000     | Aphera
Aphia                                    | Animal    | Chordata                   | -5333000      | -3600000     | Aphia
Apiocypraea                              | Animal    | Mollusca                   | -5333000      | -2588000     | <>
Aplocyathus                              | Animal    | Cnidaria                   | -5333000      | -3600000     | <>
Apocricetus                              | Animal    | Chordata                   | -4900000      | -4200000     | <>
Apocynophyllum                           | Plant     | Spermatophyta              | -23030000     | -2588000     | <>
Apodemus                                 | Animal    | Chordata                   | -11608000     | -3600000     | Apodemus
Apogon                                   | Animal    | Chordata                   | -5333000      | -2588000     | Apogon
Apolymetis                               | Animal    | Mollusca                   | -5333000      | -11700       | <>
Aporotus                                 | Animal    | Chordata                   | -11608000     | -2588000     | <>
Aporrhais                                | Animal    | Mollusca                   | -5333000      | -2588000     | Aporrhais
Aprixokogia                              | Animal    | Chordata                   | -5333000      | -3600000     | Aprixokogia
Aptyxis                                  | Animal    | Mollusca                   | -5333000      | -2588000     | Aptyxis
Apus                                     | Animal    | Chordata                   | -5333000      | -11700       | Apus
Aquila                                   | Animal    | Chordata                   | -10300000     | -4900000     | Aquila_(bird)
Arachnoidiscus                           | Plant     | Ochrophyta                 | -5333000      | -3600000     | <>
Arachnopusia                             | Animal    | Bryozoa                    | -5333000      | -2588000     | <>
Aracispermum                             | Plant     | Angiospermae               | -5333000      | -3600000     | <>
Aralia                                   | Plant     | Spermatophyta              | -11608000     | -3600000     | Aralia
Araloselachus                            | Animal    | Chordata                   | -10300000     | -4900000     | <>
Aratomys                                 | Animal    | Chordata                   | -5333000      | -3600000     | <>
Araucariacites                           | Plant     | Pinophyta                  | -15970000     | -3600000     | <>
Arbacia                                  | Animal    | Echinodermata              | -11608000     | -2588000     | Arbacia
