Bairdia                                  | Animal    | Arthropoda                 | -318100000    | -306950000   | <>
Bairdiolites                             | Animal    | Arthropoda                 | -323200000    | -315200000   | <>
Balakhonia                               | Animal    | Brachiopoda                | -323200000    | -315200000   | <>
Balantoides                              | Animal    | Arthropoda                 | -339400000    | -314600000   | <>
Bandoproductus                           | Animal    | Brachiopoda                | -323200000    | -315200000   | <>
Baphetes                                 | Animal    | Chordata                   | -318100000    | -306950000   | Baphetes
Baryshnyala                              | Animal    | Arthropoda                 | -318100000    | -314600000   | <>
Barytichisma                             | Animal    | Cnidaria                   | -339400000    | -314600000   | <>
Baschkirites                             | Animal    | Mollusca                   | -318100000    | -314600000   | Baschkirites
Bashkirella                              | Animal    | Bryozoa                    | -318100000    | -314600000   | <>
Bashkortoceras                           | Animal    | Mollusca                   | -318100000    | -314600000   | Bashkortoceras
Basslerella                              | Animal    | Arthropoda                 | -323200000    | -298900000   | <>
Batostomella                             | Animal    | Bryozoa                    | -326400000    | -318100000   | <>
Batrachiderpeton                         | Animal    | Chordata                   | -323200000    | -315200000   | Batrachiderpeton
Baylea                                   | Animal    | Mollusca                   | -318100000    | -311450000   | <>
Beagiascus                               | Animal    | Chordata                   | -326400000    | -318100000   | <>
Bechala                                  | Animal    | Arthropoda                 | -318100000    | -314600000   | Bechala
Beecheria                                | Animal    | Brachiopoda                | -318100000    | -314600000   | <>
Beedeina                                 | Micro     | Foraminifera               | -323200000    | -298900000   | <>
Beinertia                                | Plant     | Pteridophyta               | -358900000    | -298900000   | <>
Belantsea                                | Animal    | Chordata                   | -326400000    | -318100000   | Bela_(gastropod)ntsea
Belemnites                               | Animal    | Mollusca                   | -541000000    | -252170000   | Belemnites_(genus)
Belemnospongia                           | Animal    | Porifera                   | -326400000    | -318100000   | <>
Beleutoceras                             | Animal    | Mollusca                   | -326400000    | -318100000   | Beleutoceras
Belinurus                                | Animal    | Arthropoda                 | -318100000    | -314600000   | Belinurus
Bellazona                                | Animal    | Mollusca                   | -339400000    | -318100000   | <>
Bellerophon                              | Animal    | Mollusca                   | -318100000    | -311450000   | Bellerophon
Benniescorpio                            | Animal    | Arthropoda                 | -318100000    | -314600000   | <>
Beresella                                | Plant     | Chlorophyta                | -318100000    | -314600000   | <>
Berestovia                               | Plant     | Chlorophyta                | -318100000    | -314600000   | <>
Betaneospirifer                          | Animal    | Brachiopoda                | -323200000    | -298900000   | <>
Beyrichoceratoides                       | Animal    | Mollusca                   | -326400000    | -318100000   | Beyrichoceratoides
Bigenerina                               | Micro     | Foraminifera               | -323200000    | -298900000   | <>
Bilinguites                              | Animal    | Mollusca                   | -318100000    | -314600000   | Bilinguites
Binipecten                               | Animal    | Mollusca                   | -323200000    | -298900000   | <>
Bisatoceras                              | Animal    | Mollusca                   | -318100000    | -314600000   | Bisatoceras
Biseriella                               | Micro     | Foraminifera               | -318100000    | -314600000   | <>
Bistrialites                             | Animal    | Mollusca                   | -326400000    | -318100000   | Bistrialites
Blasispirifer                            | Animal    | Brachiopoda                | -323200000    | -298900000   | <>
Boeotiaspis                              | Animal    | Arthropoda                 | -326400000    | -318100000   | <>
Bogdanoceras                             | Animal    | Mollusca                   | -318100000    | -314600000   | <>
Bogoslovskya                             | Animal    | Mollusca                   | -323200000    | -315200000   | Bogoslovskya
Boltoniella                              | Animal    | Arthropoda                 | -318100000    | -314600000   | <>
Booralia                                 | Animal    | Brachiopoda                | -323200000    | -298900000   | <>
Borestus                                 | Animal    | Mollusca                   | -318100000    | -306950000   | <>
Bothrophyllum                            | Animal    | Cnidaria                   | -323200000    | -315200000   | <>
Botrychiopsis                            | Plant     | Pteridophyta               | -323200000    | -315200000   | Botrychiopsis
Botryopteris                             | Plant     | Pteridophyta               | -318100000    | -314600000   | <>
Bourbonnella                             | Animal    | Chordata                   | -323200000    | -315200000   | Bourbonnella
Boweria                                  | Plant     | Pteridophyta               | -358900000    | -298900000   | <>
