Beagiascus                               | Animal    | Chordata                   | -326400000    | -318100000   | <>
Beecheria                                | Animal    | Brachiopoda                | -326400000    | -318100000   | <>
Beinertia                                | Plant     | Pteridophyta               | -358900000    | -298900000   | <>
Belantsea                                | Animal    | Chordata                   | -326400000    | -318100000   | Belantsea
Belemnites                               | Animal    | Mollusca                   | -541000000    | -252170000   | Belemnites_(genus)
Belemnospongia                           | Animal    | Porifera                   | -326400000    | -318100000   | <>
Beleutoceras                             | Animal    | Mollusca                   | -326400000    | -318100000   | Beleutoceras
Bellazona                                | Animal    | Mollusca                   | -339400000    | -318100000   | <>
Bellerophon                              | Animal    | Mollusca                   | -326400000    | -318100000   | Bellerophon
Bernicia                                 | Animal    | Mollusca                   | -336000000    | -326400000   | Bernicia
Bevocastria                              | Micro     | Cyanobacteria              | -336000000    | -326400000   | <>
Beyrichoceras                            | Animal    | Mollusca                   | -342800000    | -326400000   | Beyrichoceras
Bilignea                                 | Plant     | Pteridospermophyta         | -358900000    | -323200000   | <>
Biseriella                               | Micro     | Foraminifera               | -330900000    | -323200000   | <>
Bisphaera                                | Micro     | Foraminifera               | -330900000    | -323200000   | <>
Bistrialites                             | Animal    | Mollusca                   | -326400000    | -318100000   | Bistrialites
Boeotiaspis                              | Animal    | Arthropoda                 | -326400000    | -318100000   | <>
Bollandia                                | Animal    | Arthropoda                 | -342800000    | -326400000   | <>
Booralia                                 | Animal    | Brachiopoda                | -326400000    | -306950000   | <>
Borestus                                 | Animal    | Mollusca                   | -330900000    | -323200000   | <>
Bornatarbus                              | Animal    | Arthropoda                 | -336000000    | -326400000   | <>
Bothrophyllum                            | Animal    | Cnidaria                   | -330900000    | -323200000   | <>
Botryopteris                             | Plant     | Pteridophyta               | -326400000    | -314600000   | <>
Boweria                                  | Plant     | Pteridophyta               | -358900000    | -298900000   | <>
Bowmanites                               | Plant     | Equisetophyta              | -358900000    | -298900000   | <>
Brachycycloceras                         | Animal    | Mollusca                   | -326400000    | -318100000   | <>
Brachyphyllum                            | Plant     | Pinopsida                  | -358900000    | -252170000   | Brachyphyllum
Brachythyrina                            | Animal    | Brachiopoda                | -339400000    | -314600000   | <>
Brachythyris                             | Animal    | Brachiopoda                | -326400000    | -318100000   | <>
Bradyina                                 | Micro     | Foraminifera               | -330900000    | -323200000   | <>
Bradyphyllum                             | Animal    | Cnidaria                   | -330900000    | -323200000   | <>
Brasilioproductus                        | Animal    | Brachiopoda                | -330900000    | -323200000   | <>
Brigantibunum                            | Animal    | Arthropoda                 | -336000000    | -326400000   | <>
Brongniartites                           | Plant     | Pteridospermophyta         | -358900000    | -252170000   | <>
Bryantodus                               | Animal    | Chordata                   | -358900000    | -298900000   | <>
Bucanopsis                               | Animal    | Mollusca                   | -326400000    | -318100000   | <>
Bulahdelia                               | Animal    | Brachiopoda                | -346700000    | -314600000   | <>
Bulimorpha                               | Animal    | Mollusca                   | -330900000    | -323200000   | <>
Buteoxylon                               | Plant     | Pteridospermophyta         | -358900000    | -323200000   | <>
Buxtonia                                 | Animal    | Brachiopoda                | -326400000    | -318100000   | <>
Cactocrinus                              | Animal    | Echinodermata              | -358900000    | -298900000   | <>
Caenolyroceras                           | Animal    | Mollusca                   | -326400000    | -318100000   | <>
Caerorhachis                             | Animal    | Chordata                   | -326400000    | -318100000   | Caerorhachis
Calamites                                | Plant     | Sphenophyta                | -326400000    | -314600000   | Calamites
Calamodendron                            | Plant     | Sphenophyta                | -358900000    | -298900000   | <>
Calamopitys                              | Plant     | Ginkgophyta                | -358900000    | -323200000   | <>
Calamospora                              | Plant     | Sphenophyta                | -326400000    | -314600000   | <>
Calamostachys                            | Plant     | Sphenophyta                | -326400000    | -314600000   | <>
Calathospermum                           | Plant     | Pteridospermophyta         | -358900000    | -323200000   | <>
Calceolispongia                          | Animal    | Echinodermata              | -358900000    | -252170000   | Calceolispongia
Calcifolium                              | Plant     | Rhodophyta                 | -330900000    | -323200000   | <>
Calclamnella                             | Animal    | Echinodermata              | -358900000    | -323200000   | <>
Calclyra                                 | Animal    | Echinodermata              | -358900000    | -323200000   | <>
Caldenocrinus                            | Animal    | Echinodermata              | -336000000    | -326400000   | <>
Caliendrum                               | Animal    | Mollusca                   | -336000000    | -326400000   | <>
Callipteris                              | Plant     | Peltaspermophyta           | -358900000    | -252170000   | Callipteris
Callistophyton                           | Plant     | Ginkgophyta                | -358900000    | -298900000   | <>
Callocladia                              | Animal    | Bryozoa                    | -330900000    | -323200000   | Callocladia
Calloconularia                           | Animal    | Cnidaria                   | -330900000    | -323200000   | <>
Camarotoechia                            | Animal    | Brachiopoda                | -326400000    | -318100000   | Camarotoechia
Camerisma                                | Animal    | Brachiopoda                | -358900000    | -323200000   | <>
Campophyllum                             | Animal    | Cnidaria                   | -326400000    | -318100000   | <>
Camptocrinus                             | Animal    | Echinodermata              | -336000000    | -326400000   | <>
Campylocephalus                          | Animal    | Arthropoda                 | -326400000    | -318100000   | Campylocephalus
Cancrinella                              | Animal    | Brachiopoda                | -330900000    | -323200000   | <>
Caneyella                                | Animal    | Mollusca                   | -326400000    | -314600000   | <>
Caninia                                  | Animal    | Cnidaria                   | -330900000    | -315200000   | Caninia_(coral)
Caninophyllum                            | Animal    | Cnidaria                   | -330900000    | -323200000   | <>
Caninostrotion                           | Animal    | Cnidaria                   | -339400000    | -318100000   | <>
Carbochthonius                           | Animal    | Arthropoda                 | -336000000    | -326400000   | <>
Carbonicola                              | Animal    | Mollusca                   | -326400000    | -318100000   | Carbonicola
Carbosesostris                           | Animal    | Annelida                   | -326400000    | -318100000   | <>
Carcharopsis                             | Animal    | Chordata                   | -326400000    | -318100000   | <>
Carcinophyllum                           | Animal    | Cnidaria                   | -336000000    | -323200000   | <>
Cardiomorpha                             | Animal    | Mollusca                   | -330900000    | -315200000   | <>
Cardiopteridium                          | Plant     | Pteridophyta               | -358900000    | -298900000   | <>
Caridosuctor                             | Animal    | Chordata                   | -326400000    | -318100000   | Caridosuctor
Carinostrobus                            | Plant     | Lycophyta                  | -358900000    | -298900000   | <>
Carlinia                                 | Animal    | Brachiopoda                | -339400000    | -314600000   | <>
Carlopsocrinus                           | Animal    | Echinodermata              | -336000000    | -326400000   | <>
Carruthersella                           | Animal    | Cnidaria                   | -336000000    | -323200000   | <>
Catastroboceras                          | Animal    | Mollusca                   | -326400000    | -318100000   | <>
Catazona                                 | Animal    | Mollusca                   | -326400000    | -318100000   | <>
Caulopteris                              | Plant     | Pteridophyta               | -358900000    | -298900000   | <>
Caunopora                                | Animal    | Cnidaria                   | -336000000    | -326400000   | <>
Cavellina                                | Animal    | Arthropoda                 | -326400000    | -318100000   | <>
Cavilentia                               | Animal    | Mollusca                   | -326400000    | -318100000   | <>
Cavusgnathus                             | Animal    | Chordata                   | -336000000    | -314600000   | Cavusgnathus
Celox                                    | Animal    | Mollusca                   | -330900000    | -323200000   | Celox
Ceraunocochlis                           | Animal    | Mollusca                   | -336000000    | -326400000   | <>
Cerithioides                             | Animal    | Mollusca                   | -330900000    | -323200000   | <>
Chaenocardiola                           | Animal    | Mollusca                   | -326400000    | -318100000   | <>
Chaetetes                                | Animal    | Porifera                   | -326400000    | -318100000   | Chaetetes
