Arcuaria                                 | Animal    | Arthropoda                 | -254170000    | -252170000   | <>
Arcullina                                | Animal    | Brachiopoda                | -254170000    | -252170000   | <>
Arenovidalina                            | Micro     | Foraminifera               | -2.599e+08    | -252170000   | <>
Areolicaudatus                           | Micro     | Radiolaria                 | -254170000    | -252170000   | <>
Ariekanerpeton                           | Animal    | Chordata                   | -298900000    | -254000000   | Ariekanerpeton
Arqoviella                               | Animal    | Arthropoda                 | -254170000    | -252170000   | <>
Artematopodites                          | Animal    | Arthropoda                 | -254170000    | -252170000   | <>
Asketochiton                             | Animal    | Mollusca                   | -298900000    | -252170000   | <>
Asperlinus                               | Animal    | Brachiopoda                | -254170000    | -252170000   | <>
Asserculinia                             | Animal    | Cnidaria                   | -254170000    | -252170000   | <>
Astacolus                                | Micro     | Foraminifera               | -254170000    | -252170000   | <>
Astartella                               | Animal    | Mollusca                   | -254170000    | -251300000   | <>
Astartila                                | Animal    | Mollusca                   | -254170000    | -252170000   | <>
Asterophyllites                          | Plant     | Sphenophyta                | -254170000    | -252170000   | <>
Asterotheca                              | Plant     | Pteridophyta               | -2.599e+08    | -252170000   | Asterotheca
Athyris                                  | Animal    | Brachiopoda                | -254170000    | -251300000   | Athyris
Atomodesma                               | Animal    | Mollusca                   | -254170000    | -252170000   | <>
Atractyliopsis                           | Plant     | Chlorophyta                | -254170000    | -252170000   | <>
Attenuatella                             | Animal    | Brachiopoda                | -254170000    | -252170000   | <>
Aulacephalodon                           | Animal    | Chordata                   | -2.599e+08    | -252170000   | Aulacephalodon
Aulagonoceras                            | Animal    | Mollusca                   | -254170000    | -252170000   | <>
Aulosteges                               | Animal    | Brachiopoda                | -254170000    | -252170000   | <>
Aurikirkbya                              | Animal    | Arthropoda                 | -254170000    | -252170000   | <>
Aurilinoproductus                        | Animal    | Brachiopoda                | -254170000    | -252170000   | <>
Australobarbarus                         | Animal    | Chordata                   | -265000000    | -252300000   | Australobarbarus
Australoxylon                            | Plant     | Pinophyta                  | -268800000    | -252170000   | <>
Austrelytron                             | Animal    | Arthropoda                 | -254170000    | -252170000   | <>
Austrocypha                              | Animal    | Arthropoda                 | -254170000    | -252170000   | <>
Austroprosbole                           | Animal    | Arthropoda                 | -254170000    | -252170000   | <>
Austropsocidium                          | Animal    | Arthropoda                 | -254170000    | -252170000   | <>
Austroscytina                            | Animal    | Arthropoda                 | -254170000    | -252170000   | <>
Austrotindaria                           | Animal    | Mollusca                   | -254170000    | -251300000   | <>
Autunia                                  | Plant     | Peltaspermophyta           | -315200000    | -254000000   | <>
Avicula                                  | Animal    | Mollusca                   | -254170000    | -252170000   | <>
Aviculopecten                            | Animal    | Mollusca                   | -254170000    | -252170000   | Aviculopecten
Aviculopinna                             | Animal    | Mollusca                   | -254170000    | -252170000   | <>
Avonia                                   | Animal    | Brachiopoda                | -254170000    | -252170000   | Avonia
Babakhosara                              | Animal    | Arthropoda                 | -254170000    | -252170000   | <>
Babala                                   | Animal    | Arthropoda                 | -254170000    | -252170000   | Babala
Babykamenia                              | Animal    | Arthropoda                 | -254170000    | -252170000   | <>
Babylonites                              | Animal    | Mollusca                   | -2.599e+08    | -252170000   | <>
Baculatisporites                         | Plant     | Pteridophyta               | -272500000    | -252300000   | <>
Baharellinus                             | Animal    | Arthropoda                 | -254170000    | -252170000   | <>
Baiera                                   | Plant     | Ginkgophyta                | -254170000    | -252170000   | Baiera
Baieroxylon                              | Plant     | Ginkgophyta                | -268800000    | -252170000   | Baieroxylon
Bairdia                                  | Animal    | Arthropoda                 | -254170000    | -252170000   | <>
Bairdiacypris                            | Animal    | Arthropoda                 | -254170000    | -252170000   | <>
