Alopecocyon                              | Animal    | Chordata                   | -23030000     | -5333000     | Alopecocyon
Alopias                                  | Animal    | Chordata                   | -11608000     | -5333000     | Alopias
Alosa                                    | Animal    | Chordata                   | -33900000     | -5333000     | Alosa
Alphagaulus                              | Animal    | Chordata                   | -23030000     | -5333000     | <>
Alvania                                  | Animal    | Mollusca                   | -11620000     | -5333000     | Alvania
Alveinus                                 | Animal    | Mollusca                   | -11608000     | -5333000     | <>
Alveolinella                             | Micro     | Foraminifera               | -7246000      | -5333000     | Alveolinella
Alveopora                                | Animal    | Cnidaria                   | -11608000     | -2588000     | Alveopora
Amalda                                   | Animal    | Mollusca                   | -11608000     | -5333000     | Amalda
Amara                                    | Animal    | Arthropoda                 | -11608000     | -5333000     | Amara
Amarophos                                | Animal    | Mollusca                   | -11608000     | -5333000     | <>
Amathina                                 | Animal    | Mollusca                   | -23030000     | -5333000     | Amathina
Amaurolithus                             | Plant     | Haptophyta                 | -7246000      | -5333000     | <>
Amblychilepas                            | Animal    | Mollusca                   | -11608000     | -5333000     | Amblychilepas
Amblycoptus                              | Animal    | Chordata                   | -11608000     | -3600000     | <>
Amblystoma                               | Animal    | Chordata                   | -10300000     | -1800000     | Amblystoma
Ambocythere                              | Animal    | Arthropoda                 | -7246000      | -3600000     | <>
Amebelodon                               | Animal    | Chordata                   | -10300000     | -4900000     | Amebelodon
Ameghinomya                              | Animal    | Mollusca                   | -11608000     | -5333000     | <>
Ameiurus                                 | Animal    | Chordata                   | -23030000     | -5333000     | Ameiurus
Amelanchier                              | Plant     | Spermatophyta              | -23030000     | -5333000     | Amelanchier
Ameranna                                 | Animal    | Mollusca                   | -7246000      | -3600000     | Ameranna
Americardia                              | Animal    | Mollusca                   | -11608000     | -5333000     | Americardia
Amia                                     | Animal    | Chordata                   | -7246000      | -5333000     | Amia
Amiantis                                 | Animal    | Mollusca                   | -11608000     | -5333000     | <>
Ammobaculites                            | Micro     | Foraminifera               | -11620000     | -3600000     | <>
Ammonia                                  | Micro     | Foraminifera               | -11608000     | -5333000     | Ammonia
Ammospermophilus                         | Animal    | Chordata                   | -10300000     | -4900000     | Ammospermophilus
Amoria                                   | Animal    | Mollusca                   | -11608000     | -5333000     | Amoria_(gastropod)
Amorpha                                  | Plant     | Spermatophyta              | -10300000     | -4900000     | Amorpha
Ampelopsis                               | Plant     | Spermatophyta              | -11608000     | -3600000     | Ampelopsis
Amphechinus                              | Animal    | Chordata                   | -23030000     | -5333000     | Amphechinus
Amphiblestrum                            | Animal    | Bryozoa                    | -33900000     | -5333000     | <>
Amphicetus                               | Animal    | Chordata                   | -11608000     | -2588000     | <>
Amphicyon                                | Animal    | Chordata                   | -11608000     | -5333000     | Amphicyon
Amphimachairodus                         | Animal    | Chordata                   | -10300000     | -4900000     | Amphimachairodus
Amphiocnus                               | Animal    | Chordata                   | -9000000      | -6800000     | <>
Amphioplus                               | Animal    | Echinodermata              | -23030000     | -5333000     | <>
Amphipelargus                            | Animal    | Chordata                   | -8700000      | -5333000     | <>
Amphiroa                                 | Plant     | Rhodophyta                 | -11608000     | -5333000     | Amphiroa
Amphisile                                | Animal    | Chordata                   | -7246000      | -5333000     | <>
