Arenovidalina                            | Micro     | Foraminifera               | -228000000    | -201300000   | <>
Arganodus                                | Animal    | Chordata                   | -228000000    | -208500000   | Arganodus
Argentinosyne                            | Animal    | Arthropoda                 | -228000000    | -208500000   | <>
Argoides                                 | Animal    | Chordata                   | -228000000    | -208500000   | Argoides
Argosirenites                            | Animal    | Mollusca                   | -215560000    | -212000000   | Argosirenites
Argyrarachne                             | Animal    | Arthropoda                 | -228000000    | -208500000   | <>
Arietoceltites                           | Animal    | Mollusca                   | -221500000    | -215560000   | Arietoceltites
Arpadites                                | Animal    | Mollusca                   | -232000000    | -221500000   | Arpadites
Asiphothalamia                           | Animal    | Porifera                   | -221500000    | -215560000   | <>
Asklepioceras                            | Animal    | Mollusca                   | -247200000    | -221500000   | Asklepioceras
Asoella                                  | Animal    | Mollusca                   | -221500000    | -215560000   | <>
Aspiduriella                             | Animal    | Echinodermata              | -252170000    | -201300000   | <>
Astacolus                                | Micro     | Foraminifera               | -227500000    | -221500000   | <>
Astarte                                  | Animal    | Mollusca                   | -221500000    | -215560000   | Astarte
Astartopis                               | Animal    | Mollusca                   | -232000000    | -221500000   | <>
Asteracanthus                            | Animal    | Chordata                   | -228000000    | -174100000   | Asteracanthus
Asterocalculus                           | Plant     | Rhodophyta                 | -212000000    | -201300000   | <>
Asterotheca                              | Plant     | Pteridophyta               | -228000000    | -201300000   | Asterotheca
Astraeomorpha                            | Animal    | Cnidaria                   | -212000000    | -201300000   | <>
Astrocoenia                              | Animal    | Cnidaria                   | -212000000    | -205600000   | <>
Astropecten                              | Animal    | Echinodermata              | -232000000    | -221500000   | Astropecten
Astrosclera                              | Animal    | Porifera                   | -221500000    | -215560000   | <>
Athyris                                  | Animal    | Brachiopoda                | -227500000    | -221500000   | Athyris
Atractites                               | Animal    | Mollusca                   | -212000000    | -205600000   | <>
Atreipus                                 | Animal    | Chordata                   | -228000000    | -208500000   | Atreipus
Atreta                                   | Animal    | Mollusca                   | -215560000    | -205600000   | <>
Atrochaetetes                            | Animal    | Porifera                   | -212000000    | -205600000   | <>
Aulacoceras                              | Animal    | Mollusca                   | -228000000    | -201300000   | Aulacoceras
Aulacothyris                             | Animal    | Brachiopoda                | -215560000    | -205600000   | <>
Aulacothyroides                          | Animal    | Brachiopoda                | -221500000    | -215560000   | <>
Aulacothyropsis                          | Animal    | Brachiopoda                | -212000000    | -205600000   | <>
Auloconus                                | Micro     | Foraminifera               | -212000000    | -201300000   | <>
Aulosina                                 | Micro     | Foraminifera               | -212000000    | -205600000   | <>
Aulotortus                               | Micro     | Foraminifera               | -212000000    | -201300000   | <>
Australosomus                            | Animal    | Chordata                   | -228000000    | -208500000   | Australosomus
Austriadactylus                          | Animal    | Chordata                   | -212000000    | -205600000   | Austriadactylus
Austriadraco                             | Animal    | Chordata                   | -212000000    | -205600000   | Austriadraco
Austriellula                             | Animal    | Brachiopoda                | -228000000    | -201300000   | <>
Austroblattula                           | Animal    | Arthropoda                 | -228000000    | -208500000   | <>
Austrochoristella                        | Animal    | Arthropoda                 | -228000000    | -208500000   | <>
Austrocolomia                            | Micro     | Foraminifera               | -212000000    | -205600000   | <>
Austrocramptonomyia                      | Animal    | Arthropoda                 | -228000000    | -208500000   | <>
Austromylacrites                         | Animal    | Arthropoda                 | -228000000    | -208500000   | <>
Austrotindaria                           | Animal    | Mollusca                   | -252170000    | -201300000   | <>
Avicula                                  | Animal    | Mollusca                   | -212000000    | -205600000   | <>
Aviculomyalina                           | Animal    | Mollusca                   | -221500000    | -215560000   | <>
Aviculopecten                            | Animal    | Mollusca                   | -228000000    | -208500000   | Aviculopecten
Ayrtonius                                | Micro     | Radiolaria                 | -212000000    | -205600000   | <>
Bacchites                                | Animal    | Mollusca                   | -232000000    | -221500000   | Bacchites
Bacutriletes                             | Plant     | Lycophyta                  | -247200000    | -201300000   | <>
Bagualosaurus                            | Animal    | Chordata                   | -237000000    | -208500000   | Bagualosaurus
Baiera                                   | Plant     | Ginkgophyta                | -228000000    | -201300000   | Baiera
Bairdia                                  | Animal    | Arthropoda                 | -237000000    | -208500000   | <>
Bakevellia                               | Animal    | Mollusca                   | -228000000    | -201300000   | <>
Bakonycrinus                             | Animal    | Echinodermata              | -228000000    | -208500000   | <>
Balanocrinus                             | Animal    | Echinodermata              | -232000000    | -221500000   | <>
Balatonia                                | Animal    | Porifera                   | -212000000    | -205600000   | <>
Balatonites                              | Animal    | Mollusca                   | -247200000    | -221500000   | Balatonites
Balatonospira                            | Animal    | Brachiopoda                | -215560000    | -212000000   | <>
Bambanagites                             | Animal    | Mollusca                   | -228000000    | -208500000   | <>
Bandelastraea                            | Animal    | Mollusca                   | -228000000    | -208500000   | <>
Baoenites                                | Animal    | Mollusca                   | -215560000    | -212000000   | <>
Barbafera                                | Animal    | Annelida                   | -221500000    | -215560000   | <>
Barrancapus                              | Animal    | Chordata                   | -221500000    | -215560000   | <>
Barrandeites                             | Animal    | Mollusca                   | -232000000    | -221500000   | Barrandeites
Basutodon                                | Animal    | Chordata                   | -228000000    | -201300000   | Basutodon
Batracholimulus                          | Animal    | Arthropoda                 | -212000000    | -205600000   | <>
Batrachopodiscus                         | Animal    | Chordata                   | -237000000    | -208500000   | <>
Batrachopus                              | Animal    | Chordata                   | -228000000    | -201300000   | Batrachopus
Battaglia                                | Animal    | Porifera                   | -212000000    | -205600000   | <>
Baumgartneria                            | Micro     | Radiolaria                 | -247200000    | -221500000   | <>
Bauneia                                  | Animal    | Porifera                   | -212000000    | -205600000   | <>
Bavarosmilia                             | Animal    | Cnidaria                   | -212000000    | -205600000   | <>
Bektasia                                 | Animal    | Arthropoda                 | -235000000    | -221500000   | <>
Belonorhynchus                           | Animal    | Chordata                   | -215560000    | -212000000   | <>
Beneckastraea                            | Animal    | Cnidaria                   | -212000000    | -205600000   | <>
Berekia                                  | Animal    | Arthropoda                 | -228000000    | -208500000   | <>
Bergamodactylus                          | Animal    | Chordata                   | -215560000    | -212000000   | Bergamodactylus
Bernoullia                               | Plant     | Pteridophyta               | -228000000    | -201300000   | Bernoullia
Betraccium                               | Micro     | Radiolaria                 | -212000000    | -205600000   | <>
Bevocastria                              | Micro     | Cyanobacteria              | -232000000    | -221500000   | <>
Beyrichites                              | Animal    | Mollusca                   | -237000000    | -208500000   | Beyrichites
Biacumina                                | Animal    | Echinodermata              | -212000000    | -205600000   | <>
Bicoelia                                 | Animal    | Porifera                   | -221500000    | -215560000   | <>
Bigenerina                               | Micro     | Foraminifera               | -228000000    | -208500000   | <>
Bihaticrinus                             | Animal    | Echinodermata              | -215560000    | -212000000   | <>
Bihatites                                | Animal    | Mollusca                   | -215560000    | -212000000   | <>
Binoculites                              | Animal    | Echinodermata              | -212000000    | -205600000   | <>
Bipedis                                  | Micro     | Radiolaria                 | -212000000    | -205600000   | <>
Birgeria                                 | Animal    | Chordata                   | -212000000    | -205600000   | Birgeria
Bispiranella                             | Micro     | Foraminifera               | -212000000    | -201300000   | <>
Bistarkum                                | Micro     | Radiolaria                 | -221500000    | -215560000   | <>
Bittnerella                              | Animal    | Brachiopoda                | -232000000    | -221500000   | <>
Blastochaetetes                          | Animal    | Porifera                   | -212000000    | -201300000   | <>
Blikanasaurus                            | Animal    | Chordata                   | -228000000    | -201300000   | Blikanasaurus
Blodgettella                             | Animal    | Mollusca                   | -212000000    | -205600000   | <>
Bolilaspirifer                           | Animal    | Brachiopoda                | -215560000    | -212000000   | <>
Boreogomphodon                           | Animal    | Chordata                   | -228000000    | -208500000   | Boreogomphodon
Borestus                                 | Animal    | Mollusca                   | -212000000    | -205600000   | <>
Borysthenia                              | Plant     | Coniferophyta              | -228000000    | -208500000   | Borysthenia
Bosiutrisauropus                         | Animal    | Chordata                   | -237000000    | -208500000   | Bosiutrisauropus
Botucaraitherium                         | Animal    | Chordata                   | -228000000    | -208500000   | Botucaraitherium
Brachychirotherium                       | Animal    | Chordata                   | -228000000    | -201300000   | <>
Brachyphyllum                            | Plant     | Coniferophyta              | -215560000    | -212000000   | Brachyphyllum
Brachyrhinodon                           | Animal    | Chordata                   | -237000000    | -208500000   | Brachyrhinodon
Brachyrhyphus                            | Animal    | Arthropoda                 | -228000000    | -208500000   | <>
Brachysuchus                             | Animal    | Chordata                   | -228000000    | -208500000   | Brachysuchus
Braginastrum                             | Micro     | Radiolaria                 | -221500000    | -215560000   | <>
Braginella                               | Micro     | Radiolaria                 | -212000000    | -205600000   | <>
Brandneria                               | Plant     | Chlorophyta                | -228000000    | -208500000   | <>
Brasilitherium                           | Animal    | Chordata                   | -228000000    | -208500000   | Brasilitherium
Brasilodon                               | Animal    | Chordata                   | -228000000    | -208500000   | Brasilodon
Brembodus                                | Animal    | Chordata                   | -215560000    | -212000000   | Brembodus
Brochidiella                             | Animal    | Mollusca                   | -212000000    | -205600000   | <>
Brochidium                               | Animal    | Mollusca                   | -228000000    | -201300000   | <>
Brouwerites                              | Animal    | Mollusca                   | -215560000    | -212000000   | <>
Bulbocyrtium                             | Micro     | Radiolaria                 | -221500000    | -215560000   | <>
Bullopora                                | Micro     | Foraminifera               | -212000000    | -205600000   | <>
Buria                                    | Animal    | Bryozoa                    | -228000000    | -208500000   | Buria
Burmesia                                 | Animal    | Mollusca                   | -212000000    | -205600000   | <>
Bysmatospermum                           | Plant     | Cycadeoideophyta           | -237000000    | -201300000   | <>
Caelestiventus                           | Animal    | Chordata                   | -237000000    | -201300000   | Caelestiventus
Caelispongia                             | Animal    | Porifera                   | -228000000    | -208500000   | <>
Calabricodium                            | Plant     | Chlorophyta                | -221500000    | -212000000   | <>
Calabrisiphonella                        | Animal    | Porifera                   | -221500000    | -215560000   | <>
Calabrispongia                           | Animal    | Porifera                   | -228000000    | -201300000   | <>
Calamites                                | Plant     | Sphenophyta                | -237000000    | -201300000   | Calamites
Calamops                                 | Animal    | Chordata                   | -228000000    | -208500000   | Calamops
Calamospora                              | Plant     | Sphenophyta                | -237000000    | -201300000   | <>
Calamostachys                            | Plant     | Sphenophyta                | -228000000    | -208500000   | <>
Calcitornella                            | Micro     | Foraminifera               | -212000000    | -205600000   | <>
Calclamna                                | Animal    | Echinodermata              | -212000000    | -205600000   | Calclamna
Calclamnella                             | Animal    | Echinodermata              | -221500000    | -215560000   | <>
Caledogonia                              | Animal    | Mollusca                   | -221500000    | -212000000   | <>
Californites                             | Animal    | Mollusca                   | -232000000    | -221500000   | Californites
Callawayia                               | Animal    | Chordata                   | -215560000    | -212000000   | Callawayia
Calliconites                             | Animal    | Mollusca                   | -232000000    | -221500000   | Calliconites
Calliostoma                              | Animal    | Mollusca                   | -228000000    | -208500000   | Calliostoma
Callipteris                              | Plant     | Peltaspermophyta           | -298900000    | -201300000   | Callipteris
Callotrochus                             | Animal    | Mollusca                   | -228000000    | -201300000   | Callotrochus
Caloblattina                             | Animal    | Arthropoda                 | -237000000    | -201300000   | <>
Calyptosuchus                            | Animal    | Chordata                   | -228000000    | -208500000   | Calyptosuchus
Camerothyris                             | Animal    | Brachiopoda                | -232000000    | -221500000   | <>
Campesteria                              | Animal    | Cnidaria                   | -228000000    | -208500000   | <>
Camponaxis                               | Animal    | Mollusca                   | -215560000    | -212000000   | <>
Camposaurus                              | Animal    | Chordata                   | -228000000    | -208500000   | Camposaurus
Camptonectes                             | Animal    | Mollusca                   | -228000000    | -201300000   | <>
Canadospira                              | Animal    | Brachiopoda                | -221500000    | -215560000   | <>
Candona                                  | Animal    | Arthropoda                 | -252170000    | -201300000   | Candona
Canesium                                 | Micro     | Radiolaria                 | -221500000    | -212000000   | <>
Canisia                                  | Animal    | Echinodermata              | -215560000    | -205600000   | <>
Canoptum                                 | Micro     | Radiolaria                 | -212000000    | -205600000   | <>
Cantalum                                 | Micro     | Radiolaria                 | -221500000    | -212000000   | <>
Canutus                                  | Micro     | Radiolaria                 | -228000000    | -208500000   | <>
Caphtorocyrtium                          | Micro     | Radiolaria                 | -221500000    | -212000000   | <>
Capillirhynchia                          | Animal    | Brachiopoda                | -232000000    | -221500000   | <>
Capnodoce                                | Micro     | Radiolaria                 | -212000000    | -205600000   | <>
Capnuchosphaera                          | Micro     | Radiolaria                 | -212000000    | -205600000   | <>
Capulus                                  | Animal    | Mollusca                   | -228000000    | -201300000   | Capulus
Carabilarva                              | Animal    | Arthropoda                 | -232000000    | -221500000   | <>
