Ameiseophis                              | Animal    | Chordata                   | -13600000     | -10300000    | <>
Ameiurus                                 | Animal    | Chordata                   | -13600000     | -10300000    | Ameiurus
Amelanchier                              | Plant     | Spermatophyta              | -13600000     | -10300000    | Amelanchier
Americaphis                              | Animal    | Arthropoda                 | -15970000     | -13600000    | <>
Americardia                              | Animal    | Mollusca                   | -23030000     | -5333000     | Americardia
Amia                                     | Animal    | Chordata                   | -13600000     | -10300000    | Amia
Amiantis                                 | Animal    | Mollusca                   | -15970000     | -11608000    | <>
Ammonia                                  | Micro     | Foraminifera               | -12700000     | -11608000    | <>
Ammophila                                | Animal    | Arthropoda                 | -12700000     | -11608000    | Ammophila
Ammospermophilus                         | Animal    | Chordata                   | -13600000     | -10300000    | Ammospermophilus
Amnicola                                 | Animal    | Mollusca                   | -12700000     | -11608000    | Amnicola
Amorena                                  | Animal    | Mollusca                   | -15970000     | -11608000    | <>
Amoria                                   | Animal    | Mollusca                   | -15970000     | -11608000    | Amoria_(gastropod)
Amorpha                                  | Plant     | Spermatophyta              | -13600000     | -10300000    | Amorpha
Ampelopsis                               | Plant     | Spermatophyta              | -13820000     | -11620000    | Ampelopsis
Amphechinus                              | Animal    | Chordata                   | -12750000     | -11100000    | Amphechinus
Amphiblestrum                            | Animal    | Bryozoa                    | -15970000     | -11608000    | <>
Amphicetus                               | Animal    | Chordata                   | -13820000     | -11620000    | <>
Amphictis                                | Animal    | Chordata                   | -15970000     | -13650000    | <>
Amphicyon                                | Animal    | Chordata                   | -13600000     | -10300000    | Amphicyon
Amphilagus                               | Animal    | Chordata                   | -12750000     | -11100000    | <>
Amphimachairodus                         | Animal    | Chordata                   | -13600000     | -4900000     | Amphimachairodus
Amphimoschus                             | Animal    | Chordata                   | -15970000     | -13650000    | <>
Amphioplus                               | Animal    | Echinodermata              | -23030000     | -5333000     | <>
Amphipelargus                            | Animal    | Chordata                   | -13820000     | -11620000    | <>
Amphiperatherium                         | Animal    | Chordata                   | -13650000     | -12750000    | <>
Amphiroa                                 | Plant     | Rhodophyta                 | -23030000     | -11608000    | Amphiroa
Amphistegina                             | Micro     | Foraminifera               | -13650000     | -12700000    | Amphistegina
Amphitragulus                            | Animal    | Chordata                   | -15970000     | -11608000    | Amphitragulus
Amphiuma                                 | Animal    | Chordata                   | -15970000     | -13600000    | Amphiuma
Amphora                                  | Plant     | Ochrophyta                 | -13820000     | -11620000    | <>
Amphotis                                 | Animal    | Arthropoda                 | -12700000     | -11608000    | Amphotis
Ampulla                                  | Animal    | Mollusca                   | -13820000     | -7246000     | <>
Ampullina                                | Animal    | Mollusca                   | -15970000     | -11608000    | Ampullina
Ampullinopsis                            | Animal    | Mollusca                   | -20440000     | -11620000    | Ampullinopsis
Amusium                                  | Animal    | Mollusca                   | -13650000     | -12700000    | Amusium
Amussiopecten                            | Animal    | Mollusca                   | -23030000     | -5333000     | <>
Amyclina                                 | Animal    | Mollusca                   | -13650000     | -12700000    | <>
Amygdalum                                | Animal    | Mollusca                   | -15970000     | -11608000    | Amygdalum
Anabernicula                             | Animal    | Chordata                   | -23030000     | -2588000     | Anabernicula
Anacardites                              | Plant     | Spermatophyta              | -15970000     | -5333000     | <>
Anacardium                               | Plant     | Spermatophyta              | -33900000     | -5333000     | Anacardium
Anacharsis                               | Animal    | Chordata                   | -12700000     | -11608000    | <>
Anachis                                  | Animal    | Mollusca                   | -13650000     | -12700000    | Anachis
Anachlysictis                            | Animal    | Chordata                   | -13800000     | -10000000    | Anachlysictis
Anadara                                  | Animal    | Mollusca                   | -12700000     | -11608000    | Anadara
Anadasypus                               | Animal    | Chordata                   | -13800000     | -11800000    | <>
Anancus                                  | Animal    | Chordata                   | -15970000     | -781000      | Anancus
Anapagurus                               | Animal    | Arthropoda                 | -13650000     | -12700000    | <>
Anapepta                                 | Animal    | Mollusca                   | -12700000     | -11608000    | <>
Anarthropora                             | Animal    | Bryozoa                    | -33900000     | -5333000     | <>
Anas                                     | Animal    | Chordata                   | -13820000     | -11620000    | Anas
Anazola                                  | Animal    | Mollusca                   | -15970000     | -11608000    | <>
Ancenycteris                             | Animal    | Chordata                   | -15970000     | -13600000    | <>
Anchiblarinella                          | Animal    | Chordata                   | -13600000     | -10300000    | <>
Anchigyps                                | Animal    | Chordata                   | -13600000     | -10300000    | <>
