Arenobulimina                            | Micro     | Foraminifera               | -140200000    | -136400000   | <>
Argentiniceras                           | Animal    | Mollusca                   | -150800000    | -129400000   | Argentiniceras
Ariadnaesporites                         | Plant     | Pteridophyta               | -145000000    | -93900000    | <>
Artematopodites                          | Animal    | Arthropoda                 | -139800000    | -132900000   | <>
Asagaolacerta                            | Animal    | Chordata                   | -139800000    | -132900000   | <>
Asciocythere                             | Animal    | Arthropoda                 | -139800000    | -132900000   | <>
Asianopodus                              | Animal    | Chordata                   | -139800000    | -125000000   | <>
Aspideretes                              | Animal    | Chordata                   | -145000000    | -100500000   | Aspideretes
Aspidoceras                              | Animal    | Mollusca                   | -150800000    | -129400000   | Aspidoceras
Asplenium                                | Plant     | Pteridophyta               | -145000000    | -100500000   | Asplenium
Assipetra                                | Plant     | Haptophyta                 | -136400000    | -130000000   | <>
Astacodes                                | Animal    | Arthropoda                 | -136400000    | -130000000   | <>
Astacolus                                | Micro     | Foraminifera               | -136400000    | -130000000   | <>
Astarte                                  | Animal    | Mollusca                   | -136400000    | -130000000   | Astarte
Asteracanthus                            | Animal    | Chordata                   | -139800000    | -132900000   | Asteracanthus
Asteropollis                             | Plant     | Magnoliophyta              | -139800000    | -125000000   | <>
Astraeofungia                            | Animal    | Cnidaria                   | -139800000    | -132900000   | <>
Astrocoenia                              | Animal    | Cnidaria                   | -139800000    | -132900000   | <>
Astroporina                              | Animal    | Porifera                   | -139800000    | -132900000   | <>
Ataphrus                                 | Animal    | Mollusca                   | -140200000    | -136400000   | <>
Atelithyris                              | Animal    | Brachiopoda                | -136400000    | -130000000   | <>
Athrotaxites                             | Plant     | Coniferophyta              | -145000000    | -100500000   | <>
Athrotaxopsis                            | Plant     | Pinophyta                  | -145000000    | -100500000   | <>
Atresius                                 | Animal    | Mollusca                   | -139800000    | -132900000   | <>
Atreta                                   | Animal    | Mollusca                   | -145000000    | -136400000   | <>
Aucellina                                | Animal    | Mollusca                   | -139800000    | -125000000   | <>
Aulacopodia                              | Animal    | Arthropoda                 | -145000000    | -66000000    | <>
Aulacosphinctes                          | Animal    | Mollusca                   | -150800000    | -129400000   | Aulacosphinctes
Aurisaturnalis                           | Micro     | Radiolaria                 | -136400000    | -130000000   | <>
Auritulinasporites                       | Plant     | Pteridophyta               | -145000000    | -130000000   | <>
Auroraella                               | Animal    | Mollusca                   | -145000000    | -136400000   | <>
Avellana                                 | Animal    | Mollusca                   | -139800000    | -132900000   | Avellana
Axiopsis                                 | Animal    | Arthropoda                 | -145000000    | -100500000   | <>
Axopodorhabdus                           | Plant     | Haptophyta                 | -136400000    | -130000000   | <>
Axosmilia                                | Animal    | Cnidaria                   | -139800000    | -132900000   | <>
Baculites                                | Animal    | Mollusca                   | -140200000    | -136400000   | Baculites
Bacutriletes                             | Plant     | Lycophyta                  | -145000000    | -100500000   | <>
Baiera                                   | Plant     | Ginkgophyta                | -145000000    | -100500000   | Baiera
Baieropsis                               | Plant     | Pteridophyta               | -145000000    | -100500000   | <>
Baissodes                                | Animal    | Arthropoda                 | -136400000    | -130000000   | <>
Bajadasaurus                             | Animal    | Chordata                   | -145000000    | -132900000   | Bajadasaurus
Bakevellia                               | Animal    | Mollusca                   | -145000000    | -130000000   | <>
Balanocrinus                             | Animal    | Echinodermata              | -139800000    | -132900000   | <>
Balmeisporites                           | Plant     | Pinophyta                  | -174100000    | -93500000    | <>
Bandellina                               | Animal    | Mollusca                   | -140200000    | -136400000   | <>
Barilium                                 | Animal    | Chordata                   | -136400000    | -125450000   | Barilium
Baronnites                               | Animal    | Mollusca                   | -139800000    | -132900000   | Baronnites
