Auraria                                  | Animal    | Chordata                   | -66000000     | -63300000    | <>
Australoneilo                            | Animal    | Mollusca                   | -66000000     | -56000000    | <>
Austrocominella                          | Animal    | Mollusca                   | -66000000     | -56000000    | <>
Austrosphaera                            | Animal    | Mollusca                   | -66000000     | -56000000    | <>
Avellana                                 | Animal    | Mollusca                   | -66000000     | -59200000    | Avellana
Averrhoites                              | Plant     | Spermatophyta              | -66000000     | -50300000    | <>
Avunculus                                | Animal    | Chordata                   | -63300000     | -61700000    | Avunculus
Axestemys                                | Animal    | Chordata                   | -61700000     | -56800000    | Axestemys
Axilosoecia                              | Animal    | Bryozoa                    | -66000000     | -61600000    | <>
Axinus                                   | Animal    | Mollusca                   | -66000000     | -59200000    | <>
Azabbaremys                              | Animal    | Chordata                   | -61700000     | -55800000    | Azabbaremys
Azolla                                   | Plant     | Pteridophyta               | -100500000    | -61700000    | Azolla
Azollopsis                               | Plant     | Pteridophyta               | -66000000     | -61600000    | <>
Baculatisporites                         | Plant     | Pteridophyta               | -100500000    | -33900000    | <>
Baculites                                | Animal    | Mollusca                   | -66000000     | -61600000    | Baculites
Baena                                    | Animal    | Chordata                   | -63300000     | -61700000    | Baena
Baibiancarpus                            | Plant     | Angiospermae               | -66000000     | -23030000    | <>
Baioconodon                              | Animal    | Chordata                   | -63300000     | -61700000    | <>
Baiotomeus                               | Animal    | Chordata                   | -61700000     | -56800000    | Baiotomeus
Bairdia                                  | Animal    | Arthropoda                 | -66000000     | -56000000    | <>
Balanophyllia                            | Animal    | Cnidaria                   | -66000000     | -56000000    | Balanophyllia
Balantiostoma                            | Animal    | Bryozoa                    | -66000000     | -61600000    | <>
Balanus                                  | Animal    | Arthropoda                 | -66000000     | -23030000    | Balanus
Balcis                                   | Animal    | Mollusca                   | -66000000     | -56000000    | <>
Balmeisporites                           | Plant     | Pinophyta                  | -72100000     | -56000000    | <>
Baluchicardia                            | Animal    | Mollusca                   | -66000000     | -56000000    | Baluchicardia
Bambusites                               | Plant     | Angiospermae               | -66000000     | -2588000     | <>
Bananogmius                              | Animal    | Chordata                   | -66000000     | -61600000    | Bananogmius
Banaraphyllum                            | Plant     | Spermatophyta              | -66000000     | -56000000    | <>
Bangiana                                 | Micro     | Foraminifera               | -66000000     | -61600000    | <>
Bantamia                                 | Animal    | Cnidaria                   | -66000000     | -56000000    | <>
Baratangia                               | Micro     | Cyanobacteria              | -66000000     | -47800000    | <>
Barbatia                                 | Animal    | Mollusca                   | -61700000     | -55800000    | Barbatia
Barbierella                              | Animal    | Mollusca                   | -66000000     | -61600000    | <>
Barylambda                               | Animal    | Chordata                   | -61700000     | -56800000    | Barylambda
Basiliocostella                          | Animal    | Brachiopoda                | -66000000     | -61600000    | <>
Basilosaurus                             | Animal    | Chordata                   | -66000000     | -2588000     | Basilosaurus
Basopollis                               | Plant     | Spermatophyta              | -66000000     | -56000000    | <>
Bathosella                               | Animal    | Bryozoa                    | -66000000     | -56000000    | <>
Bathropyramis                            | Micro     | Radiolaria                 | -66000000     | -61600000    | <>
Bathyarca                                | Animal    | Mollusca                   | -61700000     | -55800000    | Bathyarca
Bathycyathus                             | Animal    | Cnidaria                   | -66000000     | -61600000    | Bathycyathus
Batissa                                  | Animal    | Mollusca                   | -66000000     | -23030000    | <>
Bayania                                  | Animal    | Mollusca                   | -66000000     | -61600000    | <>
Beaupreaidites                           | Plant     | Spermatophyta              | -100500000    | -5333000     | <>
Beisselina                               | Animal    | Bryozoa                    | -66000000     | -61600000    | <>
Belgoryctes                              | Animal    | Chordata                   | -66000000     | -61600000    | <>
Belonostomus                             | Animal    | Chordata                   | -61700000     | -56800000    | Belonostomus
Beloptera                                | Animal    | Mollusca                   | -66000000     | -56000000    | <>
Bemalambda                               | Animal    | Chordata                   | -61700000     | -58700000    | <>
Benaius                                  | Animal    | Chordata                   | -66000000     | -61700000    | <>
Benoistia                                | Animal    | Mollusca                   | -66000000     | -58700000    | Benoistia
Berchemia                                | Plant     | Spermatophyta              | -66000000     | -2588000     | Berchemia
Berenicea                                | Animal    | Bryozoa                    | -66000000     | -61600000    | <>
Beretra                                  | Animal    | Mollusca                   | -66000000     | -61600000    | <>
Berhamniphyllum                          | Plant     | Spermatophyta              | -66000000     | -33900000    | <>
Bernaya                                  | Animal    | Mollusca                   | -66000000     | -56000000    | Bernaya
Berthella                                | Animal    | Mollusca                   | -66000000     | -61600000    | Berthella
Bessoecetor                              | Animal    | Chordata                   | -61700000     | -56800000    | <>
Betelgeusia                              | Animal    | Echinodermata              | -70600000     | -61600000    | Betelgeusia
Betonnia                                 | Animal    | Chordata                   | -66000000     | -63300000    | Betonnia
Betula                                   | Plant     | Spermatophyta              | -66000000     | -2588000     | Betula
Biantholithus                            | Plant     | Haptophyta                 | -66000000     | -61600000    | <>
Bibophiura                               | Animal    | Echinodermata              | -66000000     | -61600000    | <>
Bicorbula                                | Animal    | Mollusca                   | -61700000     | -56800000    | <>
Biddulphia                               | Plant     | Ochrophyta                 | -66000000     | -56000000    | <>
Bidenichthys                             | Animal    | Chordata                   | -66000000     | -61600000    | Bidenichthys
Bidiastopora                             | Animal    | Bryozoa                    | -66000000     | -61600000    | <>
Bignonia                                 | Plant     | Magnoliophyta              | -66000000     | -23030000    | Bignonia
Biretisporites                           | Plant     | Pteridophyta               | -66000000     | -61600000    | <>
Birgelenocrinus                          | Animal    | Echinodermata              | -70600000     | -61600000    | <>
Biscutum                                 | Plant     | Haptophyta                 | -66000000     | -61600000    | <>
Bisidmonea                               | Animal    | Bryozoa                    | -66000000     | -61600000    | <>
Bisonalveus                              | Animal    | Chordata                   | -61700000     | -56800000    | Bisonalveus
Bithynia                                 | Animal    | Mollusca                   | -66000000     | -56000000    | Bithynia
Bittiscala                               | Animal    | Mollusca                   | -66000000     | -55800000    | <>
Bittium                                  | Animal    | Mollusca                   | -66000000     | -56000000    | Bittium
Blechnum                                 | Plant     | Pteridophyta               | -66000000     | -5333000     | Blechnum
Boffius                                  | Animal    | Chordata                   | -66000000     | -61600000    | Boffius
Bolivina                                 | Micro     | Foraminifera               | -66000000     | -61600000    | <>
Bombacacidites                           | Plant     | Spermatophyta              | -66000000     | -33900000    | <>
Bomburia                                 | Animal    | Chordata                   | -63300000     | -61700000    | <>
Bomburodon                               | Animal    | Chordata                   | -66000000     | -63300000    | <>
