Arthraster                               | Animal    | Echinodermata              | -85800000     | -83500000    | <>
Artocarpus                               | Plant     | Spermatophyta              | -89800000     | -72100000    | Artocarpus
Artostrobium                             | Micro     | Radiolaria                 | -86300000     | -83600000    | <>
Artostrobus                              | Micro     | Radiolaria                 | -86300000     | -83600000    | <>
Arzamazorhinus                           | Animal    | Arthropoda                 | -93500000     | -85800000    | <>
Aspidaster                               | Animal    | Echinodermata              | -89300000     | -83500000    | <>
Aspidastraea                             | Animal    | Cnidaria                   | -86300000     | -83600000    | <>
Aspideretes                              | Animal    | Chordata                   | -85800000     | -83500000    | Aspideretes
Asplenium                                | Plant     | Pteridophyta               | -100500000    | -66000000    | Asplenium
Assilina                                 | Micro     | Foraminifera               | -86300000     | -70600000    | <>
Astacodes                                | Animal    | Arthropoda                 | -145000000    | -66000000    | <>
Astacolus                                | Micro     | Foraminifera               | -85800000     | -83500000    | <>
Astarte                                  | Animal    | Mollusca                   | -145000000    | -66000000    | Astarte
Astraeofungia                            | Animal    | Cnidaria                   | -89300000     | -85800000    | <>
Astraraea                                | Animal    | Cnidaria                   | -86300000     | -70600000    | <>
Astrobolia                               | Animal    | Porifera                   | -89800000     | -83600000    | <>
Astrocladia                              | Animal    | Porifera                   | -89800000     | -83600000    | <>
Astrocoenia                              | Animal    | Cnidaria                   | -93900000     | -72100000    | <>
Astrogyra                                | Animal    | Cnidaria                   | -85800000     | -83500000    | <>
Astropecten                              | Animal    | Echinodermata              | -100500000    | -66000000    | Astropecten
Astropegma                               | Animal    | Porifera                   | -86300000     | -83600000    | <>
Atacamatitan                             | Animal    | Chordata                   | -100500000    | -66000000    | Atacamatitan
Ataxophragmium                           | Micro     | Foraminifera               | -100500000    | -56000000    | <>
Atractosteus                             | Animal    | Chordata                   | -89300000     | -70600000    | Atractosteus
Atriculicoides                           | Animal    | Arthropoda                 | -85800000     | -83500000    | <>
Aturoidea                                | Animal    | Mollusca                   | -100500000    | -66000000    | <>
Aucellina                                | Animal    | Mollusca                   | -163500000    | -66000000    | <>
Aulacopodia                              | Animal    | Arthropoda                 | -145000000    | -66000000    | <>
Aulaxinia                                | Animal    | Porifera                   | -86300000     | -72100000    | <>
Auletomacer                              | Animal    | Arthropoda                 | -89300000     | -85800000    | <>
Aulosmilia                               | Animal    | Cnidaria                   | -85800000     | -83500000    | <>
Auriculiidites                           | Plant     | Magnoliophyta              | -89800000     | -83600000    | <>
Austinocrinus                            | Animal    | Echinodermata              | -100500000    | -66000000    | <>
Austroconops                             | Animal    | Arthropoda                 | -85800000     | -83500000    | Austroconops
Avellana                                 | Animal    | Mollusca                   | -85800000     | -83500000    | Avellana
Avenaphora                               | Animal    | Arthropoda                 | -85800000     | -83500000    | Avenaphora
Avicula                                  | Animal    | Mollusca                   | -100500000    | -66000000    | <>
Avitelmessus                             | Animal    | Arthropoda                 | -100500000    | -66000000    | Avitelmessus
Axelrodichthys                           | Animal    | Chordata                   | -89800000     | -83600000    | Axelrodichthys
Axonoceras                               | Animal    | Mollusca                   | -93900000     | -83600000    | Axonoceras
Azhdarcho                                | Animal    | Chordata                   | -85800000     | -83500000    | Azhdarcho
Azolla                                   | Plant     | Pteridophyta               | -100500000    | -61700000    | Azolla
Baalsaurus                               | Animal    | Chordata                   | -93500000     | -85800000    | Baalsaurus
Bactrosaurus                             | Animal    | Chordata                   | -100500000    | -66000000    | Bactrosaurus
Baculatisporites                         | Plant     | Pteridophyta               | -100500000    | -33900000    | <>
Baculites                                | Animal    | Mollusca                   | -100500000    | -66000000    | Baculites
Bacutriletes                             | Plant     | Lycophyta                  | -86300000     | -72100000    | <>
Baeomorpha                               | Animal    | Arthropoda                 | -85800000     | -83500000    | Baeomorpha
Baidunoconcha                            | Animal    | Mollusca                   | -100500000    | -66000000    | <>
Baieropsis                               | Plant     | Pteridophyta               | -145000000    | -66000000    | <>
Bairdia                                  | Animal    | Arthropoda                 | -100500000    | -66000000    | <>
Bakonybatrachus                          | Animal    | Chordata                   | -86300000     | -83600000    | Bakonybatrachus
Bakonydraco                              | Animal    | Chordata                   | -86300000     | -83600000    | Bakonydraco
Balanocidaris                            | Animal    | Echinodermata              | -89300000     | -83600000    | <>
Balanophyllia                            | Animal    | Cnidaria                   | -86300000     | -83600000    | Balanophyllia
Bambiraptor                              | Animal    | Chordata                   | -85800000     | -70600000    | Bambiraptor
Bananogmius                              | Animal    | Chordata                   | -85800000     | -70600000    | Bananogmius
Bantamia                                 | Animal    | Cnidaria                   | -85800000     | -83500000    | <>
Baotianmansaurus                         | Animal    | Chordata                   | -93500000     | -70600000    | Baotianmansaurus
Baptornis                                | Animal    | Chordata                   | -89800000     | -83600000    | Baptornis
Barbatia                                 | Animal    | Mollusca                   | -85800000     | -83500000    | Barbatia
Barrettia                                | Animal    | Mollusca                   | -85800000     | -83500000    | Barrettia
Barroisiceras                            | Animal    | Mollusca                   | -89300000     | -83600000    | Barroisiceras
Barrosasaurus                            | Animal    | Chordata                   | -93500000     | -85800000    | Barrosasaurus
Barrosasuchus                            | Animal    | Chordata                   | -86300000     | -83600000    | <>
Barysmilia                               | Animal    | Cnidaria                   | -93900000     | -72100000    | <>
Basilemys                                | Animal    | Chordata                   | -85800000     | -70600000    | Basilemys
Bathropyramis                            | Micro     | Radiolaria                 | -86300000     | -83600000    | <>
Bathrotomaria                            | Animal    | Mollusca                   | -85800000     | -83500000    | <>
Bathysiphon                              | Micro     | Foraminifera               | -86300000     | -83600000    | <>
Batyrosaurus                             | Animal    | Chordata                   | -86300000     | -70600000    | Batyrosaurus
Baugeichthys                             | Animal    | Chordata                   | -145000000    | -66000000    | <>
Bauxitornis                              | Animal    | Chordata                   | -86300000     | -83600000    | Bauxitornis
Bayleia                                  | Animal    | Mollusca                   | -85800000     | -83500000    | <>
Bdelloidina                              | Micro     | Foraminifera               | -86300000     | -83600000    | <>
Beaupreaidites                           | Plant     | Spermatophyta              | -100500000    | -5333000     | <>
Becksia                                  | Animal    | Porifera                   | -86300000     | -83600000    | <>
Beisselia                                | Animal    | Mollusca                   | -85800000     | -83500000    | <>
Belemnella                               | Animal    | Mollusca                   | -145000000    | -66000000    | Belemnella
Belemnitella                             | Animal    | Mollusca                   | -85800000     | -83500000    | Belemnitella
Belemnites                               | Animal    | Mollusca                   | -145000000    | -66000000    | Belemnites
Belemnopsis                              | Animal    | Mollusca                   | -145000000    | -66000000    | Belemnopsis
Bellifusus                               | Animal    | Mollusca                   | -85800000     | -83500000    | <>
Belliscala                               | Animal    | Mollusca                   | -85800000     | -83500000    | <>
Belonostomus                             | Animal    | Chordata                   | -85800000     | -83500000    | Belonostomus
Benthesicymus                            | Animal    | Arthropoda                 | -145000000    | -66000000    | Benthesicymus
Berenicea                                | Animal    | Bryozoa                    | -85800000     | -83500000    | <>
Biculteriala                             | Animal    | Mollusca                   | -86300000     | -83600000    | <>
Bicuspidon                               | Animal    | Chordata                   | -86300000     | -83600000    | Bicuspidon
Biflustra                                | Animal    | Bryozoa                    | -85800000     | -83500000    | Biflustra
Bignonites                               | Plant     | Spermatophyta              | -100500000    | -66000000    | <>
Binkhorstia                              | Animal    | Arthropoda                 | -145000000    | -66000000    | <>
Biplanata                                | Micro     | Foraminifera               | -86300000     | -83600000    | <>
Biplica                                  | Animal    | Mollusca                   | -86300000     | -83600000    | <>
Biradiolites                             | Animal    | Mollusca                   | -85800000     | -70600000    | <>
Biretisporites                           | Plant     | Pteridophyta               | -129400000    | -83600000    | <>
Bishara                                  | Animal    | Chordata                   | -86300000     | -70600000    | Bishara
Bissektia                                | Animal    | Chordata                   | -100500000    | -66000000    | <>
Bittiscala                               | Animal    | Mollusca                   | -85800000     | -83500000    | <>
Blackdownia                              | Animal    | Mollusca                   | -86300000     | -83600000    | <>
Blastochaetetes                          | Animal    | Porifera                   | -86300000     | -83600000    | <>
Boehmoceras                              | Animal    | Mollusca                   | -85800000     | -83500000    | <>
Boggsia                                  | Animal    | Mollusca                   | -85800000     | -70600000    | <>
Bolidium                                 | Animal    | Porifera                   | -86300000     | -83600000    | <>
Bolivina                                 | Micro     | Foraminifera               | -100500000    | -66000000    | <>
Boltenella                               | Animal    | Mollusca                   | -86300000     | -83600000    | <>
Bonitasaura                              | Animal    | Chordata                   | -86300000     | -83600000    | Bonitasaura
Boodlepteris                             | Plant     | Pteridophyta               | -85800000     | -83500000    | <>
Borissjakoceras                          | Animal    | Mollusca                   | -89300000     | -85800000    | <>
Borissovia                               | Animal    | Arthropoda                 | -85800000     | -83500000    | <>
Borodinopristis                          | Animal    | Chordata                   | -85800000     | -70600000    | <>
Bostrychoceras                           | Animal    | Mollusca                   | -85800000     | -83500000    | Bostrychoceras
Bothremys                                | Animal    | Chordata                   | -86300000     | -83600000    | Bothremys
Botryococcus                             | Plant     | Chlorophyta                | -100500000    | -33900000    | Botryococcus
Bouchardiella                            | Animal    | Brachiopoda                | -86300000     | -72100000    | <>
Boueina                                  | Plant     | Chlorophyta                | -86300000     | -83600000    | <>
Bourgueticrinus                          | Animal    | Echinodermata              | -86300000     | -83600000    | <>
Bournonia                                | Animal    | Mollusca                   | -85800000     | -70600000    | <>
Brachycretacea                           | Animal    | Arthropoda                 | -85800000     | -83500000    | <>
Brachycythere                            | Animal    | Arthropoda                 | -85800000     | -83500000    | <>
Brachymeandra                            | Animal    | Cnidaria                   | -85800000     | -83500000    | <>
Brachyphyllia                            | Animal    | Cnidaria                   | -86300000     | -83600000    | <>
Brachyphyllum                            | Plant     | Coniferophyta              | -100500000    | -66000000    | Brachyphyllum
Brachyrhizodus                           | Animal    | Chordata                   | -85800000     | -70600000    | <>
Brachyseris                              | Animal    | Cnidaria                   | -86300000     | -83600000    | <>
Branchiocarcinus                         | Animal    | Arthropoda                 | -145000000    | -66000000    | <>
Brasilichnium                            | Animal    | Chordata                   | -100500000    | -66000000    | <>
Broeckinella                             | Micro     | Foraminifera               | -85800000     | -72100000    | <>
Bronsteiniana                            | Animal    | Arthropoda                 | -100500000    | -66000000    | <>
Brunonia                                 | Animal    | Mollusca                   | -85800000     | -83500000    | Brunonia
Bryceomys                                | Animal    | Chordata                   | -85800000     | -70600000    | Bryceomys
Bucardium                                | Animal    | Mollusca                   | -85800000     | -83500000    | <>
Buchia                                   | Animal    | Mollusca                   | -145000000    | -66000000    | <>
Buchiceras                               | Animal    | Mollusca                   | -89300000     | -85800000    | <>
Buliminella                              | Micro     | Foraminifera               | -86300000     | -83600000    | <>
Bullaria                                 | Animal    | Mollusca                   | -93500000     | -70600000    | Bullaria
Bullopora                                | Micro     | Foraminifera               | -86300000     | -83600000    | <>
Buntonia                                 | Animal    | Arthropoda                 | -100500000    | -66000000    | <>
Buttinia                                 | Plant     | Spermatophyta              | -89300000     | -66000000    | <>
Caestocorbula                            | Animal    | Mollusca                   | -85800000     | -83500000    | Caestocorbula
Caipirasuchus                            | Animal    | Chordata                   | -93900000     | -72100000    | Caipirasuchus
Caiuajara                                | Animal    | Chordata                   | -93900000     | -72100000    | Caiuajara
Calamodontus                             | Animal    | Arthropoda                 | -85800000     | -83500000    | <>
Calamophylliopsis                        | Animal    | Cnidaria                   | -86300000     | -70600000    | Calamophylliopsis
Calcarichelys                            | Animal    | Chordata                   | -85800000     | -70600000    | <>
Caletaster                               | Animal    | Echinodermata              | -85800000     | -83500000    | <>
Califadesma                              | Animal    | Mollusca                   | -85800000     | -83500000    | <>
Callialasporites                         | Plant     | Coniferophyta              | -86300000     | -83600000    | <>
Callianassa                              | Animal    | Arthropoda                 | -100500000    | -66000000    | Callianassa
Calliax                                  | Animal    | Arthropoda                 | -86300000     | -66000000    | <>
Calliostoma                              | Animal    | Mollusca                   | -85800000     | -83500000    | Calliostoma
Calliotropis                             | Animal    | Mollusca                   | -85800000     | -83500000    | Calliotropis
Callistalox                              | Animal    | Mollusca                   | -100500000    | -66000000    | <>
Callista                                 | Animal    | Mollusca                   | -85800000     | -83500000    | Callista
Callistina                               | Animal    | Mollusca                   | -85800000     | -66000000    | <>
Callodictyon                             | Animal    | Porifera                   | -89800000     | -83600000    | <>
Callopegma                               | Animal    | Porifera                   | -86300000     | -72100000    | <>
Callorhinchus                            | Animal    | Chordata                   | -85800000     | -83500000    | Callorhinchus
Calorckosauripus                         | Animal    | Chordata                   | -86300000     | -66000000    | <>
Caloxanthus                              | Animal    | Arthropoda                 | -145000000    | -66000000    | <>
Calteagalathea                           | Animal    | Arthropoda                 | -100500000    | -66000000    | <>
Calva                                    | Animal    | Mollusca                   | -100500000    | -66000000    | Calva
Calycites                                | Plant     | Spermatophyta              | -89800000     | -72100000    | <>
